"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
535,NA,NA,14133.966,14138.466,15252.965,15252.998,NA,NA,NA,NA,NA,NA
536,NA,NA,14138.599,14138.666,15253.298,15254.198,NA,NA,NA,NA,NA,NA
537,NA,NA,14140.266,14145.266,15254.298,15263.165,NA,NA,NA,NA,NA,NA
538,NA,NA,14404.165,14446.832,15264.432,15267.165,NA,NA,NA,NA,NA,NA
539,NA,NA,14446.865,14448.298,15267.765,15272.265,NA,NA,NA,NA,NA,NA
540,NA,NA,14448.865,14451.898,15297.432,15297.498,NA,NA,NA,NA,NA,NA
541,NA,NA,14451.965,14453.365,15297.598,15304.632,NA,NA,NA,NA,NA,NA
542,NA,NA,14453.432,14454.432,15305.065,15305.132,NA,NA,NA,NA,NA,NA
543,NA,NA,14455.632,14457.132,15306.198,15306.432,NA,NA,NA,NA,NA,NA
544,NA,NA,14457.465,14475.932,15308.065,15308.132,NA,NA,NA,NA,NA,NA
545,NA,NA,14476.498,14477.198,15308.198,15309.832,NA,NA,NA,NA,NA,NA
546,NA,NA,14477.398,14478.432,15314.165,15317.765,NA,NA,NA,NA,NA,NA
547,NA,NA,14479.698,14480.365,15320.365,15320.765,NA,NA,NA,NA,NA,NA
548,NA,NA,14480.498,14480.698,15322.298,15326.365,NA,NA,NA,NA,NA,NA
549,NA,NA,14485.732,14488.832,15330.232,15334.898,NA,NA,NA,NA,NA,NA
550,NA,NA,14489.098,14517.832,15336.298,15336.498,NA,NA,NA,NA,NA,NA
551,NA,NA,14998.765,15002.498,15336.565,15336.832,NA,NA,NA,NA,NA,NA
552,NA,NA,15034.165,15037.165,15337.098,15337.165,NA,NA,NA,NA,NA,NA
553,NA,NA,15079.598,15079.765,15337.298,15338.898,NA,NA,NA,NA,NA,NA
554,NA,NA,15079.798,15082.465,15341.498,15342.165,NA,NA,NA,NA,NA,NA
555,NA,NA,15084.265,15085.865,15342.198,15342.898,NA,NA,NA,NA,NA,NA
556,NA,NA,15086.865,15086.898,15342.965,15343.998,NA,NA,NA,NA,NA,NA
557,NA,NA,15086.932,15087.065,15345.732,15345.798,NA,NA,NA,NA,NA,NA
558,NA,NA,15094.898,15094.965,15349.798,15351.398,NA,NA,NA,NA,NA,NA
559,NA,NA,15199.365,15200.165,15352.465,15352.732,NA,NA,NA,NA,NA,NA
560,NA,NA,15201.432,15201.965,15353.265,15353.332,NA,NA,NA,NA,NA,NA
561,NA,NA,15202.132,15202.598,15353.398,15355.665,NA,NA,NA,NA,NA,NA
562,NA,NA,15205.765,15205.965,15356.665,15356.798,NA,NA,NA,NA,NA,NA
563,NA,NA,15206.265,15227.098,15356.932,15357.332,NA,NA,NA,NA,NA,NA
564,NA,NA,15229.065,15230.665,15358.465,15371.265,NA,NA,NA,NA,NA,NA
565,NA,NA,15230.898,15231.098,15371.665,15371.732,NA,NA,NA,NA,NA,NA
566,NA,NA,15232.498,15234.765,15372.198,15380.065,NA,NA,NA,NA,NA,NA
