"X1","Left_start","Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
105,556.334,557.8,5235.467,5242.5,3035.633,3035.8,3205.7,3205.933,576.134,607.467,NA,NA,NA,NA
106,558.867,560.8,5248.767,5256.4,3036,3036.2,3205.967,3206.267,607.867,608.267,NA,NA,NA,NA
107,561,561.2,5256.5,5256.833,3038,3038.267,3300.167,3301,608.467,608.734,NA,NA,NA,NA
108,561.467,565.2,5279.767,5280.233,3040.833,3041.167,3317.933,3328.733,608.8,619.067,NA,NA,NA,NA
109,565.534,566.2,5287.433,5288.267,3041.3,3041.533,3328.867,3328.933,619.134,619.267,NA,NA,NA,NA
110,568,571.534,5387.233,5387.667,3042.1,3042.233,3368.033,3368.4,619.934,620.934,NA,NA,NA,NA
111,571.6,571.667,5388.933,5404.8,3042.333,3042.433,3368.533,3371.633,621.134,621.334,NA,NA,NA,NA
112,573.267,573.8,5444.6,5445.167,3042.6,3042.7,3372.3,3372.833,622.134,622.2,NA,NA,NA,NA
113,574,574.2,5474.933,5477.533,3042.733,3042.767,3373.5,3375.233,622.267,622.934,NA,NA,NA,NA
114,574.4,576.134,5477.567,5477.833,3043.033,3043.1,3375.333,3375.367,623.334,623.534,NA,NA,NA,NA
115,607.467,607.667,5479.033,5487.233,3043.133,3043.233,3375.4,3375.533,624.467,624.6,NA,NA,NA,NA
116,608.267,608.467,5512.7,5513.067,3043.667,3043.833,3384.6,3385,626.467,627.067,NA,NA,NA,NA
117,608.734,608.8,5555.333,5555.733,3045.2,3045.267,3385.167,3394.333,627.267,627.334,NA,NA,NA,NA
118,619.067,619.134,5902.933,5904.267,3045.333,3045.533,3395.7,3400.9,627.6,627.734,NA,NA,NA,NA
119,619.267,619.934,5979.467,5986.733,3045.567,3047.967,3425.7,3426.433,628.467,628.6,NA,NA,NA,NA
120,620.934,621.134,6004.167,6009.467,3051.033,3052.7,3426.5,3427.633,629.6,629.667,NA,NA,NA,NA
121,621.334,622.134,6255.767,6304.3,3054.633,3054.7,3427.7,3433.567,630.667,630.8,NA,NA,NA,NA
122,622.2,622.267,6354.167,6354.667,3055,3055.267,3442.133,3442.5,632.4,632.467,NA,NA,NA,NA
123,622.934,623.334,6390.833,6391.233,3055.3,3055.433,3443.167,3444.067,632.6,633.4,NA,NA,NA,NA
124,623.534,624.467,6525.233,6525.5,3059.7,3059.833,3447.867,3448.067,634.6,635,NA,NA,NA,NA
