"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
149,8960.932,8963.565,2177.033,2177.3,2170.133,2170.3,6853.766,6864.899,9025.199,9026.532,NA,NA
150,8963.599,8964.265,2178.833,2179.533,2170.9,2170.933,6887.799,6887.966,9042.432,9042.499,NA,NA
151,8971.365,8971.799,2180.266,2204.9,2170.966,2171.5,6888.699,6930.966,9046.265,9046.399,NA,NA
152,8987.032,8987.932,2206.8,2208.6,2171.666,2172.7,6931.166,6931.299,9046.632,9046.665,NA,NA
153,8998.932,8999.332,2224.533,2224.766,2173.5,2173.6,6931.599,6932.099,9046.965,9047.065,NA,NA
154,9011.732,9013.999,2225.133,2225.9,2173.666,2177.033,7096.233,7097.233,9047.499,9047.832,NA,NA
155,9014.099,9014.699,2226.633,2233.466,2177.3,2178.833,7098.033,7161.099,9057.332,9057.599,NA,NA
156,9014.799,9015.199,2239.8,2296.5,2179.533,2180.266,7199.166,7200.432,9057.665,9060.232,NA,NA
157,9015.332,9016.265,2296.533,2296.6,2204.9,2206.8,7202.632,7234.232,9066.632,9066.665,NA,NA
158,9018.732,9018.899,2306.3,2306.366,2208.6,2224.533,7372.732,7372.966,9066.699,9066.732,NA,NA
159,9019.032,9019.332,2306.566,2306.8,2224.766,2225.133,7381.699,7471.699,9066.832,9066.865,NA,NA
160,9026.532,9032.932,2306.933,2307.066,2225.9,2226.633,7472.099,7472.199,9086.765,9086.899,NA,NA
161,9033.565,9034.832,2307.3,2307.366,2233.466,2239.8,7489.199,7489.332,9088.832,9091.199,NA,NA
162,9039.965,9042.432,2307.633,2309.866,2296.5,2296.533,7489.399,7490.866,9101.232,9103.965,NA,NA
163,9042.499,9044.799,2309.933,2310.133,2296.6,2306.3,7491.466,7491.799,9104.032,9104.599,NA,NA
164,9047.999,9048.799,2310.3,2316.166,2306.366,2306.566,7506.299,7507.932,9104.632,9104.665,NA,NA
165,9056.132,9057.065,2317.3,2320.6,2306.8,2306.933,7752.332,7752.599,9370.999,9371.099,NA,NA
166,9060.432,9066.632,2321.966,2322.5,2307.066,2307.3,7758.966,7866.532,9372.632,9374.299,NA,NA
167,9066.665,9066.699,2322.533,2323.5,2307.366,2307.633,7867.632,7868.299,9375.932,9376.765,NA,NA
168,9066.732,9066.832,2324.533,2326.3,2309.866,2309.933,7868.366,7869.999,9376.865,9377.699,NA,NA
169,9066.865,9080.032,2326.4,2329.8,2310.133,2310.3,7870.132,7878.299,9377.832,9380.465,NA,NA
170,9084.932,9086.765,2489.266,2489.833,2489.833,2493,7939.466,7939.666,9389.765,9390.432,NA,NA
171,9086.899,9087.199,2493,2494.466,2494.466,2494.566,7941.299,7948.899,9392.399,9393.599,NA,NA
172,9105.099,9106.565,2494.566,2494.7,2494.7,2495.4,7950.699,7950.999,9403.965,9404.099,NA,NA
