"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Contact_Unknown_start","Contact_Unknown_stop"
131,1148.266,1148.366,1145.633,1148.266,2088.266,2092.8,3328.733,3328.8,4356.733,4356.966,6290.766,6291.866,NA,NA
132,1171.1,1173.3,1148.366,1166.766,2158.6,2159.566,3353.9,3355.366,4358.1,4358.266,6305.5,6347.866,NA,NA
133,1185.266,1187.2,1176.466,1185.266,2195.333,2195.633,3356.2,3356.433,4358.333,4358.466,6434.033,6436.433,NA,NA
134,1187.4,1188.233,1187.2,1187.4,2197.1,2197.2,3358.4,3358.433,4358.566,4358.733,6476.533,6477.6,NA,NA
135,1188.366,1188.666,1188.233,1188.366,2205.066,2206.366,3688.4,3688.8,4504.866,4505.1,6572.5,6576.133,NA,NA
136,1189.1,1189.8,1188.666,1189.1,2206.533,2207.1,3690.1,3690.3,4571.6,4571.866,6626.933,6635.633,NA,NA
137,1189.9,1190.433,1189.8,1189.9,2211.8,2217.933,3691.333,3691.966,4597.433,4597.566,6772,6775.333,NA,NA
138,1193.433,1193.533,1190.433,1193.433,2218.3,2218.333,4093.533,4094.466,4606.1,4606.833,6800.366,6805.366,NA,NA
139,1285.733,1293.133,1193.533,1200.333,2218.633,2219.3,4097.5,4097.633,4611.466,4611.6,6842.4,6855.033,NA,NA
140,1295.133,1295.7,1280.966,1285.733,2223.366,2229.633,4100.333,4100.633,4611.633,4612.933,6919.433,6925.166,NA,NA
141,1295.833,1296.1,1293.133,1295.133,2239.666,2248.4,4101.466,4102.233,4613,4617.066,7112.866,7132.099,NA,NA
142,1296.533,1296.6,1295.7,1295.833,2267.2,2270.933,4105.966,4106.266,4617.133,4623.866,7134.832,7135.732,NA,NA
143,1300.8,1302.033,1296.1,1296.533,2364.066,2373.633,4112.3,4112.5,4623.9,4627.6,7412.099,7414.632,NA,NA
144,1307.866,1307.9,1296.6,1300.8,2373.966,2378.366,4223.033,4224.1,4627.633,4627.666,7426.366,7431.232,NA,NA
145,1307.933,1309.2,1302.033,1307.866,2410.133,2421.3,4224.233,4224.633,4627.833,4628.1,7472.232,7477.032,NA,NA
146,1309.266,1329.2,1307.9,1307.933,2421.733,2423.2,4225,4225.233,4629.066,4634.7,7484.632,7493.966,NA,NA
