"X1","X1_1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop","Unknown_start","Unknown_stop"
218,NA,NA,NA,7107.83,7108.83,NA,NA,3558.564,3560.931,15022.163,15022.329,NA,NA
219,NA,NA,NA,7109.097,7109.364,NA,NA,3561.564,3561.697,15023.129,15050.496,NA,NA
220,NA,NA,NA,7109.764,7109.83,NA,NA,3562.497,3578.564,15051.063,15051.463,NA,NA
221,NA,NA,NA,7110.03,7110.097,NA,NA,3578.564,3594.397,15051.796,15052.163,NA,NA
222,NA,NA,NA,7110.564,7110.83,NA,NA,3594.63,3594.864,15053.196,15063.329,NA,NA
223,NA,NA,NA,7110.897,7137.83,NA,NA,3595.53,3595.63,15069.596,15072.163,NA,NA
224,NA,NA,NA,7150.197,7172.397,NA,NA,3595.73,3596.264,15079.429,15081.496,NA,NA
225,NA,NA,NA,7172.73,7172.797,NA,NA,3596.897,3598.53,15174.963,15176.429,NA,NA
226,NA,NA,NA,7172.83,7180.297,NA,NA,3974.264,3974.664,15183.629,15187.963,NA,NA
227,NA,NA,NA,7180.297,7194.93,NA,NA,3974.83,3974.897,15187.996,15188.063,NA,NA
228,NA,NA,NA,7195.297,7197.23,NA,NA,3975.73,3975.764,15188.229,15188.496,NA,NA
229,NA,NA,NA,7197.563,7197.597,NA,NA,3975.797,3975.83,15192.263,15192.929,NA,NA
230,NA,NA,NA,7197.63,7197.763,NA,NA,3975.93,3975.964,15232.129,15234.896,NA,NA
231,NA,NA,NA,7197.93,7204.897,NA,NA,3976.03,3976.43,15237.629,15240.396,NA,NA
232,NA,NA,NA,7204.963,7205.063,NA,NA,3982.064,4008.864,16113.929,16128.463,NA,NA
233,NA,NA,NA,7205.23,7205.33,NA,NA,4080.697,4093.464,16133.463,16210.996,NA,NA
234,NA,NA,NA,7205.43,7205.93,NA,NA,4096.83,4099.397,19486.829,19489.362,NA,NA
235,NA,NA,NA,7270.53,7270.563,NA,NA,4108.797,4120.597,19612.262,19643.729,NA,NA
