"X1","Center_start","Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop"
156,5202.8,5219.3,2497.7,2497.833333,2212.466667,2228.6,2607.5,2618.566667,2798.5,2798.666667
157,5250.333333,5251.266667,2497.9,2501.433333,2231,2231.5,2618.8,2618.966667,2799.1,2799.4
158,5257,5257.166667,2503.666667,2503.7,2232.3,2235.366667,2619,2621.733333,2985.566667,2985.6
159,5264.5,5265.166667,2504.366667,2504.4,2236.033333,2236.3,2621.8,2621.866667,2985.666667,2986.1
160,5291.4,5294.833333,2504.9,2504.966667,2237.066667,2237.333333,2621.9,2622.033333,2986.133333,2989.533333
161,5329.933333,5344.066667,2505,2505.066667,2238.2,2238.466667,2622.766667,2622.9,2994.733333,2994.933333
162,5372.733333,5374.1,2505.7,2506.366667,2298.333333,2299.1,2622.966667,2623.833333,3515.5,3515.933333
163,5540.133333,5546.466667,2507.033333,2507.233333,2299.266667,2299.6,2623.866667,2623.9,3516.066667,3519.966667
164,5636.833333,5637.566667,2535.933333,2547.533333,2335.366667,2335.666667,2623.966667,2624.733333,3520.1,3520.3
165,5775.866667,5790.233333,2547.6,2547.866667,2336.033333,2336.233333,2630.266667,2630.4,3520.533333,3521.8
166,5806.066667,5820.1,2548.966667,2549.833333,2338.033333,2338.133333,2630.466667,2630.6,3522.2,3522.233333
167,5820.2,5821.5,2549.966667,2574.666667,2338.8,2339.033333,2630.633333,2631,3522.366667,3522.433333
168,5821.966667,5822.566667,2703.733333,2704.3,2340.4,2342.2,2631.066667,2631.1,3522.766667,3542.166667
169,5822.666667,5823.2,2704.466667,2704.9,2345.2,2345.366667,2631.166667,2631.366667,3744.833333,3753.4
170,5830.966667,5831.1,2735.3,2735.533333,2346.033333,2346.366667,2631.566667,2631.666667,3840.033333,3840.2
171,5831.166667,5831.633333,2735.966667,2738.566667,2348.433333,2348.7,2636.933333,2637.066667,3843.966667,3844.033333
172,5833.333333,5833.633333,2739,2739.533333,2350.1,2351,2643.433333,2643.866667,3844.1,3844.633333
173,5835.1,5835.566667,2739.633333,2740.7,2351.233333,2352.6,2644.033333,2644.1,3905.7,3905.9
174,5836.066667,5837.3,2740.766667,2740.966667,2353.533333,2353.733333,2645.333333,2645.966667,3905.933333,3905.966667
175,5843.566667,5872.166667,2809.6,2809.8,2354.266667,2355.3,2647.233333,2648.366667,4026.366667,4026.4
176,6040.9,6045.533333,2817.833333,2818.666667,2355.5,2362.8,2648.733333,2649.966667,4026.433333,4026.6
177,6091.133333,6112.166667,2819.766667,2823.433333,2363.366667,2366.866667,2651.233333,2652.4,4032.7,4033.366667
178,6169.6,6177.166667,2823.733333,2835.266667,2368.966667,2369.433333,2657.133333,2657.566667,4214,4214.566667
179,6183.5,6198.966667,2835.433333,2856.633333,2369.6,2369.9,2671.566667,2689.9,4217.633333,4224.7
180,6199.3,6199.333333,2861.733333,2862,2370,2371.533333,2746.533333,2746.633333,4224.966667,4225.133333
181,6201.533333,6202.266667,2862.866667,2912.7,2371.966667,2372.5,2748.066667,2749.433333,4382.533333,4383.166667
182,6222.766667,6223.3,2914.166667,2944.433333,2373.633333,2373.966667,2749.566667,2768.666667,4383.2,4383.9
183,6281.366667,6283.8,2944.733333,2947,2378.6,2378.666667,2768.8,2768.833333,4636.5,4639.466667
184,6427.633333,6428.7,3001.166667,3005.833333,2378.866667,2378.966667,2768.866667,2769.3,4666.333333,4666.533333
185,6432.6,6434.066667,3017,3017.1,2379.566667,2465.2,2769.433333,2770.033333,4733.633333,4739.2
186,6488.533333,6489.433333,3017.3,3083.666667,2472,2481.066667,2770.2,2770.366667,5232.366667,5245.4
187,6545.766667,6547.166667,3084.666667,3085.166667,2483.266667,2484.233333,2770.4,2770.433333,5296.433333,5297.033333
188,6552.333333,6558.7,3085.366667,3091.466667,2484.333333,2490.3,2770.7,2770.9,5367,5371.733333
189,6634.033333,6636.333333,3091.8,3097.066667,2492.466667,2492.9,2771.066667,2771.733333,5627.033333,5627.6
190,6641.9,6704.966667,3097.2,3097.6,2493.566667,2493.6,2773.5,2773.666667,5628.066667,5634.766667
191,6714.7,6726.366667,3099.266667,3099.666667,2493.733333,2495.033333,2774,2774.4,5799.933333,5800.166667
192,6734.9,6756.633333,3100.066667,3100.266667,2495.966667,2497.266667,2776.166667,2791.266667,5800.3,5800.366667
193,6780.3,6781,3100.5,3104.066667,2497.3,2497.7,2796.2,2797.233333,5801.066667,5803.7
194,6796.5,6812.766667,3107.733333,3108.666667,2497.833333,2497.9,2797.5,2798.5,6046.9,6047.433333
195,6855.9,6856.566667,3108.7,3108.766667,2501.433333,2503.666667,2798.666667,2799.1,6049.5,6051.1
196,7314.3,7314.666667,3111.233333,3114.633333,2503.7,2504.366667,2799.4,2804.566667,6051.166667,6051.233333
197,7346.1,7352.333333,3115.133333,3115.2,2504.4,2504.9,2970.233333,2985.566667,6051.833333,6056.766667
198,7353.3,7358.5,3115.233333,3115.266667,2504.966667,2505,2985.6,2985.666667,6056.866667,6057.166667
199,7411.866667,7412.566667,3116.166667,3121.633333,2505.066667,2505.7,2986.1,2986.133333,6060.666667,6060.833333
200,7413.9,7414.233333,3121.866667,3142.366667,2506.366667,2507.033333,2989.533333,2994.733333,6062.466667,6063
201,7417.466667,7420.1,3142.6,3144.633333,2507.233333,2535.933333,2994.933333,2996.666667,6082.6,6084.3
202,7434.5,7435.166667,3147.433333,3147.666667,2547.533333,2547.6,3300.166667,3301.8,6202.733333,6203
203,7435.7,7436.2,3147.733333,3147.9,2547.866667,2548.966667,3434.833333,3437.8,6203.4,6215.066667
204,7441.366667,7443.266667,3148.166667,3148.3,2549.833333,2549.966667,3514.266667,3515.5,6215.266667,6215.3
205,7445.333333,7448.233333,3153.333333,3153.833333,2574.666667,2590.266667,3515.933333,3516.066667,6435.533333,6436.466667
206,7453.266667,7455.533333,3153.866667,3153.9,2590.333333,2591.8,3519.966667,3520.1,6456.466667,6457.933333
207,7482.266667,7482.766667,3154.266667,3154.6,2703,2703.733333,3520.3,3520.533333,6547.666667,6549.533333
208,7484.633333,7484.933333,3154.8,3155.2,2704.3,2704.466667,3521.8,3522.2,6710.833333,6711.833333
209,7488.233333,7492.066667,3155.233333,3156.066667,2704.9,2713.833333,3522.233333,3522.366667,6712.033333,6712.233333
210,7494.133333,7499.533333,3156.966667,3157.033333,2734.5,2735.3,3522.433333,3522.766667,6777.2,6779.933333
211,7504.733333,7506.666667,3157.133333,3157.5,2735.533333,2735.966667,3542.166667,3542.7,6824.266667,6824.6
212,7528.366667,7528.933333,3157.566667,3157.666667,2738.566667,2739,3737.233333,3744.833333,6828.333333,6828.433333
213,7532.033333,7532.433333,3158.1,3167.466667,2739.533333,2739.633333,3753.4,3756.8,6829.133333,6829.2
214,7571.4,7572.033333,3167.533333,3167.933333,2740.7,2740.766667,3831.733333,3840.033333,7483.433333,7484.266667
215,7574.933333,7575.133333,3168.133333,3168.566667,2740.966667,2745.1,3840.2,3843.966667,7792.133333,7792.266667
216,7581.4,7581.8,3170.066667,3170.466667,2806.5,2809.6,3844.033333,3844.1,7792.3,7794.533333
217,7582.166667,7583.533333,3173.1,3173.166667,2809.8,2817.833333,3844.633333,3874.933333,7794.566667,7795
218,7583.766667,7587.2,3173.233333,3173.4,2818.666667,2819.766667,3895.6,3905.7,7796.6,7797.3
219,7619.366667,7621.933333,3202.766667,3203.066667,2823.433333,2823.733333,3905.9,3905.933333,7797.5,7797.9
220,7740.366667,7756.7,3203.466667,3204.1,2835.266667,2835.433333,3905.966667,3908.2,7798.066667,7799.633333
221,7757.633333,7757.733333,3204.266667,3204.333333,2856.633333,2861.733333,4025.7,4026.366667,7867.933333,7868.133333
222,7757.866667,7758.866667,3204.466667,3205.133333,2862,2862.866667,4026.4,4026.433333,7868.166667,7868.233333
223,7760.3,7760.766667,3205.233333,3205.3,2912.7,2914.166667,4026.6,4028.866667,7940.433333,7944.866667
224,7761.266667,7761.666667,3211.1,3212.033333,2944.433333,2944.733333,4029.866667,4032.7,7979.366667,7979.566667
225,7766.4,7768.3,3212.166667,3212.8,2947,2955.5,4033.366667,4033.733333,7980.133333,7984.433333
226,7782.333333,7790.1,3217.2,3217.433333,3005.833333,3017,4213.466667,4214,7984.466667,7984.5
227,7802.233333,7807.433333,3226.433333,3229.966667,3017.1,3017.3,4214.566667,4217.633333,7984.6,7986.633333
228,7826,7841.8,3255.166667,3255.2,3083.666667,3084.666667,4224.7,4224.966667,7986.833333,7987.1
229,7919.8,7923.6,3255.533333,3256.366667,3085.166667,3085.366667,4225.133333,4228.366667,7987.333333,7990.166667
230,7933.466667,7939.6,3256.433333,3258.233333,3091.466667,3091.8,4292.166667,4300.4,7994.733333,7995
231,7952.4,7964.733333,3258.5,3259.233333,3097.066667,3097.2,4344.766667,4382.533333,8351.3,8369.633333
232,7977.133333,7978.833333,3270.033333,3270.066667,3097.6,3099.266667,4383.166667,4383.2,8460.5,8465.5
233,7995.933333,7998.3,3274.066667,3274.533333,3099.666667,3100.066667,4383.9,4388.133333,8465.666667,8480.566667
234,8346.933333,8350.5,3274.9,3275.066667,3100.266667,3100.5,4635.833333,4636.5,8481.333333,8481.8
235,8372.366667,8374.433333,3275.1,3275.133333,3104.066667,3107.733333,4639.466667,4666.333333,8483.033333,8483.933333
236,8434.4,8445,3275.266667,3276.6,3108.666667,3108.7,4666.533333,4678.2,8874.866667,8876.333333
