"X1","Center_start","Center_stop","Left_start","Left_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop"
179,5503.267,5503.6,1415.933,1416.533,NA,NA,1767.133,1769.267,2463.267,2463.6,2986.667,2986.9
180,5525.233,5527.767,1416.633,1416.733,NA,NA,1769.733,1769.9,2463.7,2466.333,2988.767,2988.967
181,5638.167,5639.233,1416.767,1416.867,NA,NA,1775.333,1775.6,2467.167,2467.5,2990.467,2994.433
182,5641.1,5646.3,1416.967,1417.267,NA,NA,1775.867,1797,2487.267,2487.8,3055.033,3055.267
183,5738.067,5748.633,1426.167,1427.133,NA,NA,1797.567,1800,2487.833,2488.033,3083.667,3083.833
184,5891.467,5896.933,1435.1,1438.3,NA,NA,1800.733,1801.667,2505.867,2506.233,3083.867,3083.967
185,5902.1,5908.5,1438.333,1438.4,NA,NA,1803.933,1804,2509.1,2509.8,3084.333,3084.367
186,5930.067,6010.033,1438.7,1439.2,NA,NA,1804.067,1804.567,2509.833,2510.3,3084.6,3084.667
187,6344.467,6346.667,1463.267,1463.3,NA,NA,1805.433,1807.7,2516.533,2516.633,3091.433,3091.533
188,6460.6,6460.9,1463.467,1463.867,NA,NA,1808.033,1831.4,2542.733,2544.2,3184.833,3185
189,6664.933,6675.967,1463.933,1464.567,NA,NA,1835.367,1836,2545.267,2545.433,3185.733,3185.833
190,6687.9,6690.133,1547.167,1549.267,NA,NA,1843.133,1846.833,2556.333,2556.367,3185.9,3192.533
191,6690.167,6691,1561.833,1562.6,NA,NA,1858.767,1861.067,2556.433,2557.933,3193.067,3193.9
192,6702.767,6751.833,1585.4,1586.867,NA,NA,1870.167,1877.4,2558.2,2558.4,3194.667,3198.533
193,6752.966,6753.266,1588.033,1588.167,NA,NA,1877.767,1877.8,2558.433,2558.467,3198.867,3201.933
194,6774.733,6795.466,1588.267,1588.533,NA,NA,1877.9,1877.967,2558.5,2558.7,3202.733,3204.267
195,6819.533,6846,1748.033,1750.1,NA,NA,1878.467,1878.9,2585.933,2586.133,3205.233,3208.267
196,6884.6,6889.933,1834.433,1834.833,NA,NA,1879.067,1879.2,2590.2,2591.5,3208.4,3208.5
197,6952.533,6973.333,2260.133,2260.633,NA,NA,1879.433,1879.467,2591.567,2591.9,3208.967,3209.8
198,7703.366,7720.266,2303.9,2308.833,NA,NA,1881.9,1881.933,2592.033,2593.1,3210.633,3221.267
199,7781.366,7806.833,2327.333,2327.533,NA,NA,1881.967,1882.233,2593.567,2593.733,3221.333,3221.533
200,7882.299,7886.166,2332.167,2336.867,NA,NA,1882.933,1902.733,2595.733,2596.067,3227.767,3227.933
201,7894.399,7894.766,2378.667,2380.5,NA,NA,2118.4,2118.667,2596.3,2596.4,3265.833,3265.933
202,7904.266,7909.499,2387.467,2390.833,NA,NA,2129.2,2134.1,2596.433,2596.467,3266.5,3266.533
203,7910.933,7925.133,2391.067,2401.4,NA,NA,2140,2145.967,2597.967,2598.1,3266.567,3267.033
204,7997.199,7997.566,2402.067,2404.4,NA,NA,2261.233,2273.8,2659.767,2679.433,3267.233,3269.433
205,8001.499,8009.133,2404.433,2404.8,NA,NA,2274.067,2274.167,2679.567,2680.833,3269.667,3270.4
206,8009.533,8038.066,2405.133,2405.3,NA,NA,2274.5,2274.533,2682.167,2682.733,3332.6,3338.8
207,8051.366,8051.566,2405.333,2405.5,NA,NA,2287.933,2288.033,2682.933,2683.433,3339.333,3339.5
208,8052.099,8052.399,2422.867,2422.967,NA,NA,2302.033,2303,2684.833,2688.967,3339.667,3350.333
209,8055.866,8057.499,2429.233,2434.067,NA,NA,2309.267,2309.633,2704.033,2708.933,3350.733,3350.9
210,8072.633,8080.633,2442.233,2442.4,NA,NA,2309.767,2310.167,2715.767,2739.267,3354.433,3354.533
211,8103.899,8111.766,2442.467,2442.533,NA,NA,2337.3,2337.467,2740.4,2741.467,3354.7,3354.833
212,8112.866,8113.366,2444.333,2445.167,NA,NA,2337.633,2339.167,2767.767,2768.033,3355.067,3355.167
213,8125.699,8133.533,2452.633,2453.133,NA,NA,2339.333,2339.4,2769.8,2780.767,3355.2,3355.233
214,8138.633,8139.133,2495.467,2495.5,NA,NA,2339.6,2349.167,2782.033,2785.2,3368.967,3369.033
215,8141.266,8145.899,2537.633,2541.2,NA,NA,2349.267,2349.4,2797.7,2800.9,3369.933,3370.3
216,8147.899,8148.199,2541.5,2541.633,NA,NA,2405.733,2408.1,2807.067,2807.533,3466.467,3466.533
217,8148.466,8148.633,2541.767,2542.133,NA,NA,2434.9,2435.3,2810.167,2810.233,3501.133,3501.4
218,8149.333,8149.499,2625.533,2628.733,NA,NA,2436.467,2436.733,2810.633,2816.3,3501.533,3501.6
219,8170.666,8173.799,2631.267,2633.167,NA,NA,2453.567,2458.5,2835.8,2835.833,3502.167,3502.667
220,8174.733,8186.633,2640.533,2640.667,NA,NA,2458.567,2458.6,2836.967,2844.6,3502.733,3503.167
221,8241.666,8255.766,2654.1,2654.533,NA,NA,2459.167,2459.4,2844.867,2845.533,4200.3,4200.433
222,8262.266,8263.066,2875.3,2878.8,NA,NA,2459.5,2463.267,2848.567,2851.133,4200.567,4200.733
223,8290.466,8290.799,2879.367,2879.6,NA,NA,2463.6,2463.7,2851.4,2851.433,4203.1,4203.2
224,8385.566,8387.366,2882.433,2885.167,NA,NA,2466.333,2467.167,2852.233,2852.333,4203.533,4203.867
225,8395.033,8400.666,2925.267,2945.633,NA,NA,2467.5,2487.267,2852.467,2852.633,4389.067,4389.7
226,8471.733,8516.966,2945.967,2947.8,NA,NA,2487.8,2487.833,2852.667,2852.7,4390.333,4391
227,8721.333,8749.333,2948,2949.167,NA,NA,2488.033,2491.333,2852.733,2853,4391.067,4392.633
228,8751.799,8752.833,2949.667,2950.233,NA,NA,2495.967,2505.867,2853.4,2853.433,4407.467,4408.367
229,8764.033,8768.833,2954.2,2962.767,NA,NA,2506.233,2506.5,2853.767,2853.833,5005.133,5005.467
230,8774.199,8776.766,2962.8,2965.533,NA,NA,2508.833,2509.1,2855.367,2855.4,5006.833,5006.9
231,8790.066,8791.633,2966.933,2980.233,NA,NA,2509.8,2509.833,2855.533,2855.7,5007.633,5007.767
232,9513.166,9519.699,2980.333,2983.867,NA,NA,2510.3,2516.533,2855.833,2856.033,5008.133,5008.167
233,9536.933,9539.666,2983.9,2984.3,NA,NA,2516.633,2536.733,2866.433,2866.6,5008.633,5008.733
234,9789.299,9789.699,2984.4,2986.233,NA,NA,2542.5,2542.733,2869.967,2870.1,5009.233,5012.833
235,9830.333,9852.766,2986.267,2986.367,NA,NA,2544.2,2545.267,2871.2,2871.533,5012.933,5012.967
236,10115.233,10132.699,2986.567,2986.667,NA,NA,2545.433,2556.333,2871.733,2872.4,5013.6,5014
237,10132.733,10132.799,2986.9,2988.767,NA,NA,2556.367,2556.433,2908.6,2911.5,5014.133,5014.233
238,10132.966,10133.199,2988.967,2990.467,NA,NA,2557.933,2558.2,2914.567,2916.6,5026,5026.967
239,10133.266,10133.299,2994.433,2994.667,NA,NA,2558.4,2558.433,2995.067,2995.8,5085.767,5085.9
240,10133.333,10133.866,3005.6,3055.033,NA,NA,2558.467,2558.5,3371.933,3372.3,5096.433,5096.8
241,10279.833,10288.266,3055.267,3055.567,NA,NA,2558.7,2560.167,3511.233,3511.267,5097.967,5098.3
242,10807.699,10808.665,3067.3,3083.667,NA,NA,2581.867,2585.933,3511.333,3511.633,5098.367,5098.867
243,10808.699,10808.732,3083.833,3083.867,NA,NA,2586.133,2590.2,3553.133,3554.233,5098.967,5109.7
244,10903.865,10915.199,3083.967,3084.333,NA,NA,2591.5,2591.567,3587.067,3587.5,5117.6,5123.367
245,10917.299,11052.732,3084.367,3084.6,NA,NA,2591.9,2592.033,3653,3653.1,5125.167,5125.4
246,11058.265,11066.899,3084.667,3091.433,NA,NA,2593.1,2593.567,3657.267,3657.367,5126.8,5130.267
247,11080.099,11081.699,3091.533,3092.333,NA,NA,2593.733,2595.733,3657.6,3657.633,5132.767,5135
248,11084.265,11084.532,3098.4,3184.833,NA,NA,2596.067,2596.3,3658.367,3658.833,5135.1,5135.167
249,11261.265,11267.899,3185,3185.733,NA,NA,2596.4,2596.433,3659.7,3659.933,5139.9,5141.633
250,11318.865,11321.532,3185.833,3185.9,NA,NA,2596.467,2597.967,3662.067,3662.133,5141.667,5142.167
251,11358.465,11360.665,3192.533,3193.067,NA,NA,2598.1,2598.6,3716.767,3716.967,5152.733,5153.133
