"X1","Center_start","Center_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
104,13369.332,13443.098,9706.399,9706.532,2193.6,2193.667,2265.467,2265.567,10026.766,10027.032,NA,NA,NA,NA
105,13457.232,13460.632,9706.666,9707.266,2193.734,2193.8,2267.3,2268.234,10524.199,10524.332,NA,NA,NA,NA
106,13618.298,13618.365,9707.532,9712.566,2193.867,2254.5,2270,2272.767,10524.532,10524.899,NA,NA,NA,NA
107,13618.432,13672.998,9712.599,9713.732,2254.534,2254.567,2272.967,2273.367,10526.232,10526.332,NA,NA,NA,NA
108,13731.798,13743.898,9731.199,9733.299,2254.734,2254.767,2273.567,2273.9,10528.266,10528.999,NA,NA,NA,NA
109,13894.532,13909.232,9874.366,9874.399,2254.834,2254.867,2276.434,2277.1,10540.432,10541.399,NA,NA,NA,NA
110,13984.232,13985.432,9874.432,9892.099,2254.9,2256.267,2277.167,2277.934,10541.732,10541.932,NA,NA,NA,NA
111,14050.765,14052.098,9923.766,9924.266,2256.334,2257.234,2284.334,2284.4,10542.266,10543.132,NA,NA,NA,NA
112,20272.765,20284.031,10023.232,10026.766,2257.667,2258.234,2286.8,2287,10918.765,10919.298,NA,NA,NA,NA
113,20340.131,20340.498,10027.032,10027.066,2258.5,2259.134,2290.867,2291,10948.198,10948.532,NA,NA,NA,NA
114,20348.565,20355.465,10027.132,10027.832,2259.167,2259.534,2293,2293.334,10948.665,10948.765,NA,NA,NA,NA
115,20649.631,20657.331,10279.699,10293.699,2259.667,2262.167,2293.534,2294,10949.832,10950.132,NA,NA,NA,NA
116,20747.865,20747.998,10505.766,10524.199,2265.434,2265.467,2295,2295.5,11416.165,11416.698,NA,NA,NA,NA
117,20748.031,20758.965,10524.332,10524.532,2265.567,2267.3,2297.3,2297.467,11420.732,11421.532,NA,NA,NA,NA
118,20774.031,20774.965,10524.899,10526.232,2268.234,2270,2303.634,2304.434,11422.532,11422.832,NA,NA,NA,NA
119,20775.065,20775.098,10526.332,10528.266,2272.767,2272.967,2305,2305.067,11423.498,11423.732,NA,NA,NA,NA
120,20911.165,20912.131,10528.999,10540.432,2273.367,2273.567,2305.167,2305.634,11423.965,11426.865,NA,NA,NA,NA
121,20984.398,20986.831,10541.399,10541.732,2273.9,2276.434,2307.867,2314.8,11426.932,11427.565,NA,NA,NA,NA
122,20990.665,20998.798,10541.932,10541.999,2277.1,2277.167,2316.334,2318.534,11427.698,11428.432,NA,NA,NA,NA
123,21600,21600,10542.199,10542.266,2277.934,2284.334,2320.434,2320.634,11507.432,11507.798,NA,NA,NA,NA
124,21600,21600,10543.132,10543.399,2284.4,2286.8,2320.8,2320.934,11510.032,11512.398,NA,NA,NA,NA
125,NA,NA,10756.099,10792.832,2287,2290.867,2321.167,2321.767,11515.798,11515.865,NA,NA,NA,NA
126,NA,NA,10792.832,10918.765,2291,2293,2324.567,2324.934,11516.465,11517.065,NA,NA,NA,NA
127,NA,NA,10919.298,10948.198,2293.334,2293.534,2325.467,2337,11522.765,11522.832,NA,NA,NA,NA
128,NA,NA,10948.532,10948.665,2294,2295,2337.367,2340.7,11527.898,11529.532,NA,NA,NA,NA
129,NA,NA,10948.765,10949.832,2295.5,2297.3,2345,2354.834,11529.598,11532.998,NA,NA,NA,NA
130,NA,NA,10950.132,10980.165,2297.467,2303.634,2355.434,2383.367,11533.132,11533.632,NA,NA,NA,NA
131,NA,NA,11410.798,11410.965,2304.434,2305,2383.5,2383.867,11534.898,11534.965,NA,NA,NA,NA
132,NA,NA,11411.398,11416.165,2305.067,2305.167,2384.667,2385.467,11534.998,11537.365,NA,NA,NA,NA
133,NA,NA,11416.698,11420.732,2305.634,2307.867,2385.667,2393.967,11537.432,11538.065,NA,NA,NA,NA
134,NA,NA,11421.532,11422.532,2314.8,2316.334,2395.4,2469.6,11542.365,11542.698,NA,NA,NA,NA
135,NA,NA,11422.832,11423.498,2318.534,2320.434,2469.734,2470.234,11548.165,11548.565,NA,NA,NA,NA
136,NA,NA,11423.732,11423.965,2320.634,2320.8,2470.7,2471.034,11548.598,11548.632,NA,NA,NA,NA
137,NA,NA,11426.865,11426.932,2320.934,2321.167,2473,2473.534,11548.865,11549.465,NA,NA,NA,NA
138,NA,NA,11427.565,11427.698,2321.767,2324.567,2474.067,2475.734,11573.165,11573.198,NA,NA,NA,NA
139,NA,NA,11428.432,11430.598,2324.934,2325.467,2520.767,2520.9,12445.132,12445.632,NA,NA,NA,NA
140,NA,NA,11438.832,11507.432,2337,2337.367,2522.7,2522.8,12448.398,12448.498,NA,NA,NA,NA
141,NA,NA,11507.798,11510.032,2340.7,2345,2523.7,2525.434,12448.532,12455.632,NA,NA,NA,NA
142,NA,NA,11512.398,11515.798,2354.834,2355.434,2526.3,2526.467,12455.898,12456.232,NA,NA,NA,NA
143,NA,NA,11515.865,11516.465,2383.367,2383.5,2530.267,2530.667,12456.298,12456.332,NA,NA,NA,NA
144,NA,NA,11517.065,11522.765,2383.867,2384.667,2534.6,2536.767,12456.365,12456.465,NA,NA,NA,NA
