"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
104,11423.133,11425.099,293,306.3,306.3,319.467,4851.634,4873.3,5161.434,5162.2,NA,NA
105,11509.466,11510.633,319.467,398.967,429.8,429.834,4873.434,4884.934,5162.367,5163.067,NA,NA
106,11838.166,11847.166,405.734,406.234,430.167,430.2,4909.9,4910.934,5339.734,5340.367,NA,NA
107,11940.699,11941.399,428.334,429.8,430.234,441.234,4920.367,4923.2,5340.467,5343.5,NA,NA
108,12202.766,12203.766,429.834,430.167,441.567,442,4923.667,4923.934,5344.267,5344.3,NA,NA
109,12229.766,12230.899,430.2,430.234,443.267,497.7,4925.5,4925.634,5344.434,5347.034,NA,NA
110,12292.299,12294.599,441.234,441.567,541.334,617,4926.534,4950.534,5349.567,5349.7,NA,NA
111,12311.533,12331.966,442,443.267,623.134,624.967,4950.6,4952.8,5349.834,5350.367,NA,NA
112,12421.966,12423.266,497.7,541.334,717,718.2,4952.9,4952.967,5376.567,5376.667,NA,NA
113,12423.299,12423.699,617,623.134,718.4,727.6,4960.034,4960.1,5376.734,5379.1,NA,NA
114,12513.033,12517.266,624.967,717,770.634,770.667,5024,5024.667,5445.9,5445.934,NA,NA
115,12569.299,12596.566,718.2,718.4,770.7,776.2,5024.7,5024.867,5445.967,5446,NA,NA
116,12623.866,12632.533,727.6,770.634,816,816.267,5025.5,5029.334,5446.167,5446.334,NA,NA
117,12671.266,12701.166,770.667,770.7,816.3,816.334,5040.9,5041.2,5446.467,5446.6,NA,NA
118,12857.466,12858.699,776.2,816,816.434,816.667,5052.567,5056.267,5446.634,5446.667,NA,NA
119,12897.999,12907.699,816.267,816.3,816.7,818.067,5056.8,5057.067,5446.767,5446.8,NA,NA
120,12981.766,12983.766,816.334,816.434,820.767,842.4,5057.234,5057.434,5447.567,5447.9,NA,NA
121,13139.533,13148.833,816.667,816.7,858.5,861.434,5057.467,5057.867,5447.934,5448.6,NA,NA
122,13281.266,13323.966,818.067,820.767,862.367,864.9,5058,5063.834,5448.634,5458.167,NA,NA
123,13519.733,13521.999,842.4,858.5,866.134,878.434,5159.234,5159.4,5458.434,5458.5,NA,NA
124,13579.333,13601.999,861.434,862.367,879.434,879.467,5161.367,5161.434,5458.767,5458.967,NA,NA
125,13713.733,13740.766,864.9,866.134,908.1,941.134,5162.2,5162.367,5459.167,5459.3,NA,NA
126,14010.533,14022.966,878.434,879.434,957.534,957.6,5336.434,5339.734,5459.367,5459.567,NA,NA
127,14100.899,14110.466,879.467,908.1,957.634,989.9,5340.367,5340.467,5459.634,5459.667,NA,NA
128,14160.433,14165.099,941.134,957.534,989.934,992.634,5343.5,5344.267,5459.8,5460.067,NA,NA
129,14263.099,14265.199,957.6,957.634,993.167,993.3,5344.3,5344.434,5460.234,5460.434,NA,NA
130,14268.299,14277.433,989.9,989.934,998.667,999,5347.034,5349.567,5460.567,5460.834,NA,NA
131,14287.266,14306.333,992.634,993.167,999.034,999.267,5349.7,5349.834,5461.034,5462.8,NA,NA
132,14306.633,14309.566,993.3,998.667,1020.334,1020.7,5350.367,5350.867,5494.334,5494.8,NA,NA
133,14312.366,14317.099,999,999.034,1060.167,1060.267,5375.867,5376.567,5494.834,5495.434,NA,NA
134,14317.399,14321.566,999.267,1020.334,1060.4,1060.5,5376.667,5376.734,5495.567,5496.267,NA,NA
135,14322.233,14325.899,1020.7,1060.167,1061.867,1063.667,5379.1,5379.634,5499.167,5499.234,NA,NA
136,14604.399,14605.232,1060.267,1060.4,1063.734,1073.8,5443.467,5445.9,5499.267,5499.8,NA,NA
137,14668.566,14693.599,1060.5,1061.867,1084.967,1108.267,5445.934,5445.967,5502.034,5502.067,NA,NA
138,14796.299,14797.132,1063.667,1063.734,1129.6,1140.434,5446,5446.167,5502.234,5502.367,NA,NA
139,14811.666,14811.799,1073.8,1084.967,1140.834,1144.067,5446.334,5446.467,5502.634,5502.667,NA,NA
140,14812.066,14898.332,1108.267,1129.6,1307.634,1398.5,5446.6,5446.634,5503.867,5504.767,NA,NA
141,14898.666,14898.732,1140.434,1140.834,1416.2,1416.234,5446.667,5446.767,5511.767,5520.167,NA,NA
142,14898.966,14899.066,1144.067,1307.634,1416.267,1416.934,5446.8,5447.567,6255.2,6265.2,NA,NA
143,14899.132,14899.466,1398.5,1416.2,1417,1417.134,5447.9,5447.934,6265.267,6267.4,NA,NA
144,14900.399,14901.232,1416.234,1416.267,1425.067,1425.3,5448.6,5448.634,6289.134,6292.667,NA,NA
145,15599.132,15599.932,1416.934,1417,1425.367,1431.867,5458.167,5458.434,6293.667,6293.767,NA,NA
146,15667.899,15679.399,1417.134,1425.067,1433.767,1438.7,5458.5,5458.767,6294.667,6297.4,NA,NA
147,15682.432,15684.032,1425.3,1425.367,1438.8,1438.934,5458.967,5459.167,6297.834,6306.767,NA,NA
148,15686.466,15700.332,1431.867,1433.767,1439.034,1439.167,5459.3,5459.367,6905.834,6905.867,NA,NA
149,15710.866,15736.832,1438.7,1438.8,1439.267,1439.7,5459.567,5459.634,6905.934,6913.034,NA,NA
150,15900.599,15910.232,1438.934,1439.034,1439.8,1441.034,5459.667,5459.8,6913.067,6913.334,NA,NA
151,15925.932,15955.832,1439.167,1439.267,1469.467,1469.6,5460.067,5460.234,6913.367,6913.467,NA,NA
152,15963.799,15964.332,1439.7,1439.8,1470.134,1470.367,5460.434,5460.567,6913.5,6913.534,NA,NA
153,15966.232,15966.966,1441.034,1469.467,1470.4,1470.734,5460.834,5461.034,6913.834,6914.034,NA,NA
154,15992.699,15993.799,1469.6,1470.134,1472.467,1474.634,5462.8,5494.334,6914.067,6914.7,NA,NA
155,16016.499,16021.766,1470.367,1470.4,1474.667,1474.7,5494.8,5494.834,6914.9,6915.067,NA,NA
156,16022.732,16030.632,1470.734,1472.467,1483.8,1484.567,5495.434,5495.567,6915.1,6915.4,NA,NA
157,16033.299,16034.432,1474.634,1474.667,1497.134,1503.967,5496.267,5499.167,6915.534,6915.567,NA,NA
158,16133.299,16133.432,1474.7,1483.8,1730.934,1731.1,5499.234,5499.267,6954.867,6954.934,NA,NA
159,16133.466,16141.799,1484.567,1497.134,1731.134,1731.334,5499.8,5502.034,6955.034,6955.1,NA,NA
160,16148.866,16150.899,1503.967,1534.934,1732.634,1743.4,5502.067,5502.234,6955.134,6955.3,NA,NA
161,16159.532,16161.532,1730.867,1730.934,1743.634,1750.034,5502.367,5502.634,6955.334,6955.4,NA,NA
162,16164.632,16171.566,1731.1,1731.134,1868.7,1869.134,5502.667,5503.867,6960.567,6961.3,NA,NA
163,16173.066,16177.032,1731.334,1732.634,2008.2,2008.3,5504.767,5511.767,6961.367,6961.834,NA,NA
