"X1","Center_start","Center_stop","Unknown_start","Unknown_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop"
125,10878.532,10921.732,NA,NA,1656.333,1656.5,1629.167,1629.2,5803.066,5803.333,8729.266,8729.966,NA,NA
126,11023.466,11025.266,NA,NA,1656.933,1657.533,1629.3,1632.233,5811.5,5827.5,8965.633,8966.133,NA,NA
127,11031.399,11036.099,NA,NA,1658.033,1658.067,1632.567,1633.267,5827.633,5827.9,9030.966,9037.499,NA,NA
128,11373.699,11377.399,NA,NA,1671.367,1682.867,1633.3,1633.367,5828.033,5828.133,9058.166,9058.299,NA,NA
129,11380.866,11745.666,NA,NA,1682.967,1688.067,1633.4,1633.567,5828.233,6828.666,9058.433,9060.266,NA,NA
130,11905.599,11931.466,NA,NA,1710.633,1710.9,1656.1,1656.233,7996.899,8010.433,9060.466,9064.699,NA,NA
131,11958.432,11960.899,NA,NA,1713.767,1716.433,1656.267,1656.333,8010.599,8010.766,9064.899,9066.233,NA,NA
132,11966.699,11978.332,NA,NA,1718.367,1719.233,1656.5,1656.933,8010.899,8013.166,9066.266,9066.333,NA,NA
133,12314.999,12390.666,NA,NA,1720.9,1721.033,1657.533,1658.033,8018.666,8018.799,9066.433,9067.733,NA,NA
134,12395.799,12407.866,NA,NA,1721.1,1724.333,1658.067,1671.367,8023.799,8028.033,9067.799,9070.133,NA,NA
135,12408.199,12408.332,NA,NA,1730.333,1730.533,1682.867,1682.967,8032.033,8032.699,9072.733,9072.799,NA,NA
136,12568.132,12569.532,NA,NA,1730.633,1730.767,1688.067,1710.633,8070.399,8071.599,9275.366,9275.399,NA,NA
137,12585.366,12608.299,NA,NA,1761.533,1762,1710.9,1713.767,8072.066,8072.099,9275.433,9277.399,NA,NA
138,14268.499,14269.399,NA,NA,1762.167,1768.667,1716.433,1718.367,8073.233,8088.366,10077.766,10079.566,NA,NA
139,14315.632,14370.399,NA,NA,1888.9,1898.633,1719.233,1720.9,8090.133,8090.199,10098.566,10098.599,NA,NA
140,14526.965,14530.665,NA,NA,1898.7,1899.133,1721.033,1721.1,8245.599,8246.766,10098.633,10127.133,NA,NA
141,14530.965,14545.199,NA,NA,1902.533,1929.4,1724.333,1730.333,8249.633,8250.099,10317.666,10317.933,NA,NA
142,14558.232,14561.832,NA,NA,1929.467,1929.8,1730.533,1730.633,8392.566,8392.666,10319.566,10320.033,NA,NA
143,14775.332,14783.865,NA,NA,1930.033,1931,1730.767,1761.533,8394.466,8406.933,10320.999,10322.933,NA,NA
144,14783.932,14784.099,NA,NA,1931.467,1931.567,1762,1762.167,8679.033,8682.099,10761.599,10764.732,NA,NA
145,14785.899,14787.432,NA,NA,1948.2,1949.6,1768.667,1776.567,8682.399,8682.499,10765.566,10781.599,NA,NA
146,14790.165,14790.965,NA,NA,1950.2,1954.633,1886.833,1888.9,8682.533,8689.366,10783.132,10783.266,NA,NA
147,14819.599,14819.932,NA,NA,1954.833,1954.933,1898.633,1898.7,8689.999,8693.266,10799.432,10802.632,NA,NA
148,14820.065,14820.432,NA,NA,1957.233,1962.667,1899.133,1902.533,8693.399,8693.433,10804.132,10804.199,NA,NA
149,14821.365,14826.165,NA,NA,1963.233,1969.7,1929.4,1929.467,8693.499,8693.599,11027.432,11028.366,NA,NA
150,14892.299,14893.132,NA,NA,1969.9,1970.267,1929.8,1930.033,8693.666,8693.899,12392.332,12392.399,NA,NA
151,14939.699,15968.365,NA,NA,1970.367,1970.567,1931,1931.467,8708.399,8708.433,12392.432,12393.566,NA,NA
152,15974.265,15977.699,NA,NA,1970.867,1982.6,1931.567,1948.2,8709.033,8709.533,12393.599,12393.832,NA,NA
153,16148.032,16152.599,NA,NA,1984.033,1984.667,1949.6,1950.2,8710.066,8710.133,14273.066,14273.199,NA,NA
154,16175.565,16184.799,NA,NA,1995.8,1996.267,1954.633,1954.833,8710.266,8710.333,14273.499,14273.666,NA,NA
155,16189.465,16190.665,NA,NA,1996.767,1997.033,1954.933,1957.233,8711.199,8711.566,14273.932,14274.032,NA,NA
156,16318.732,16351.365,NA,NA,2001.6,2001.667,1962.667,1963.233,8712.099,8712.299,14274.266,14280.666,NA,NA
157,16367.665,16375.699,NA,NA,2001.767,2011.167,1969.7,1969.9,8712.599,8712.699,14567.932,14568.365,NA,NA
158,16399.865,16408.699,NA,NA,2011.267,2011.667,1970.267,1970.367,8712.833,8712.866,14787.699,14787.832,NA,NA
159,16423.932,16433.399,NA,NA,2011.9,2014.067,1970.567,1970.867,8713.099,8713.366,14787.899,14789.765,NA,NA
160,16452.399,16459.732,NA,NA,2029.133,2042.067,1982.6,1984.033,8713.499,8713.733,14827.065,14828.099,NA,NA
161,17048.832,17049.632,NA,NA,2042.333,2051.6,1984.667,1987.5,8713.766,8713.833,14833.599,14833.665,NA,NA
162,17089.732,17092.265,NA,NA,2052.467,2053.4,1992.867,1995.8,8714.033,8714.133,14834.132,14834.199,NA,NA
163,17430.665,17435.299,NA,NA,2053.733,2053.933,1996.267,1996.767,8714.199,8714.233,14834.265,14834.599,NA,NA
164,17450.332,17451.099,NA,NA,2129.4,2131.133,1997.033,2001.6,8714.699,8715.666,14842.099,14842.165,NA,NA
