"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
143,NA,NA,2091.866,2092.033,3043.933,3597.6,6952.866,6952.899,4771.933,4772.333,NA,NA,NA,NA
144,NA,NA,2092.133,2092.166,3597.6,4672.7,6952.932,7078.366,6944.999,6945.032,NA,NA,NA,NA
145,NA,NA,2092.366,2092.666,4779.3,4781.1,7079.566,7082.599,6945.232,6948.299,NA,NA,NA,NA
146,NA,NA,2092.9,2092.966,4781.666,4782.433,7086.699,7086.766,6948.966,6952.866,NA,NA,NA,NA
147,NA,NA,2111.4,2112.133,4783.266,4783.333,7086.932,7089.499,6952.899,6952.932,NA,NA,NA,NA
148,NA,NA,2129.5,2131.6,4784.533,4787.2,7092.266,7092.566,7078.366,7079.566,NA,NA,NA,NA
149,NA,NA,2170.166,2172.166,4787.666,4789.833,7093.166,7093.966,7082.599,7086.699,NA,NA,NA,NA
150,NA,NA,2172.7,2172.733,4795.066,5903.966,7094.266,7100.432,7086.766,7086.932,NA,NA,NA,NA
151,NA,NA,2172.9,2173.066,5903.966,6721.866,7230.566,7248.699,7089.499,7092.266,NA,NA,NA,NA
152,NA,NA,2173.933,2174,6722.166,6785.432,7248.899,7252.332,7092.566,7093.166,NA,NA,NA,NA
153,NA,NA,2175.8,2175.933,6810.332,6811.699,7253.099,7253.866,7093.966,7094.266,NA,NA,NA,NA
154,NA,NA,2184.266,2184.3,6824.499,6939.666,7253.932,7255.632,7100.432,7105.099,NA,NA,NA,NA
155,NA,NA,2184.5,2184.533,7113.566,7113.599,7255.799,7295.366,7248.699,7248.899,NA,NA,NA,NA
156,NA,NA,2185.066,2185.133,7113.766,7114.766,7295.632,7296.066,7252.332,7253.099,NA,NA,NA,NA
157,NA,NA,2206.233,2206.266,7114.766,7121.166,7296.466,7297.232,7253.866,7253.932,NA,NA,NA,NA
158,NA,NA,2227.933,2230.066,7121.299,7121.766,7297.466,7302.866,7255.632,7255.799,NA,NA,NA,NA
159,NA,NA,2240.8,2258.966,7121.899,7121.966,7306.632,7306.666,7295.366,7295.632,NA,NA,NA,NA
160,NA,NA,2296.066,2300.666,7122.699,7122.966,7312.666,7312.766,7296.066,7296.466,NA,NA,NA,NA
161,NA,NA,2362.266,2362.333,7123.432,7124.632,7356.466,7356.566,7297.232,7297.466,NA,NA,NA,NA
162,NA,NA,2427.433,2434.266,7124.766,7125.866,7356.666,7411.499,7302.866,7306.632,NA,NA,NA,NA
163,NA,NA,2459.6,2462.466,7125.966,7128.766,7633.232,7634.832,7306.666,7312.666,NA,NA,NA,NA
164,NA,NA,2466.9,2466.933,7128.799,7128.966,7634.866,7635.399,7312.766,7356.466,NA,NA,NA,NA
165,NA,NA,2467.333,2467.366,7129.032,7129.399,7635.732,7635.932,7356.566,7356.666,NA,NA,NA,NA
166,NA,NA,2511.5,2522.533,7129.466,7129.499,7642.266,7642.366,7411.499,7433.166,NA,NA,NA,NA
167,NA,NA,2555.666,2556.466,7130.132,7132.666,7642.432,7642.599,7633.032,7633.232,NA,NA,NA,NA
168,NA,NA,2559.3,2560.233,7133.966,7134.332,7645.232,7645.532,7634.832,7634.866,NA,NA,NA,NA
169,NA,NA,2579.5,2594.766,7134.366,7145.866,7645.599,7663.666,7635.399,7635.732,NA,NA,NA,NA
170,NA,NA,3039.6,3041.1,7146.199,7146.399,7663.732,7663.932,7635.932,7642.266,NA,NA,NA,NA
171,NA,NA,3041.7,3043.933,7457.966,7457.999,7666.699,7667.899,7642.366,7642.432,NA,NA,NA,NA
172,NA,NA,4672.7,4739.3,7458.099,7459.432,8166.566,8167.332,7642.599,7645.232,NA,NA,NA,NA
173,NA,NA,4777.5,4779.3,7459.999,7460.899,8196.299,8196.432,7645.532,7645.599,NA,NA,NA,NA
174,NA,NA,4781.1,4781.666,7460.966,7460.999,8196.632,8222.899,7663.666,7663.732,NA,NA,NA,NA
175,NA,NA,4782.433,4783.266,7461.132,7467.332,8252.266,8252.332,7663.932,7666.699,NA,NA,NA,NA
176,NA,NA,4783.333,4784.533,7467.366,7492.099,8252.432,8254.166,7667.899,7676.732,NA,NA,NA,NA
177,NA,NA,4787.2,4787.666,7714.066,7714.199,8648.232,8686.066,8167.332,8196.299,NA,NA,NA,NA
178,NA,NA,4789.833,4795.066,7715.366,7716.799,8694.099,8694.666,8196.432,8196.632,NA,NA,NA,NA
179,NA,NA,6721.866,6722.166,7716.966,7888.966,8696.666,8700.266,8222.899,8252.266,NA,NA,NA,NA
180,NA,NA,6785.432,6810.332,8275.832,8275.999,8700.999,8701.066,8252.332,8252.432,NA,NA,NA,NA
181,NA,NA,6811.699,6824.499,8276.466,8280.432,8701.199,8701.666,8254.166,8254.232,NA,NA,NA,NA
182,NA,NA,6939.666,6941.466,8280.499,8359.332,8702.532,8708.732,8686.066,8694.099,NA,NA,NA,NA
183,NA,NA,7106.999,7113.566,8359.466,8359.532,8708.866,8708.999,8694.666,8696.666,NA,NA,NA,NA
184,NA,NA,7113.599,7113.766,8359.766,8569.932,8709.666,8715.266,8700.266,8700.999,NA,NA,NA,NA
185,NA,NA,7121.166,7121.299,9803.066,9803.566,8732.732,8744.399,8701.066,8701.199,NA,NA,NA,NA
186,NA,NA,7121.766,7121.899,9803.932,9989.366,8766.666,8769.866,8701.666,8702.532,NA,NA,NA,NA
187,NA,NA,7121.966,7122.699,10303.132,10303.232,8797.266,8823.032,8708.732,8708.866,NA,NA,NA,NA
188,NA,NA,7122.966,7123.432,10303.366,10313.299,8823.166,8824.566,8708.999,8709.666,NA,NA,NA,NA
189,NA,NA,7124.632,7124.766,10313.832,10315.299,8832.766,8834.466,8715.266,8732.732,NA,NA,NA,NA
190,NA,NA,7125.866,7125.966,10571.732,10577.632,8834.666,8842.032,8744.399,8766.666,NA,NA,NA,NA
191,NA,NA,7128.766,7128.799,10696.699,10716.332,8842.066,8842.099,8769.866,8797.266,NA,NA,NA,NA
192,NA,NA,7128.966,7129.032,10716.332,10918.532,8842.266,8842.299,8823.032,8823.166,NA,NA,NA,NA
193,NA,NA,7129.399,7129.466,10919.198,10919.765,8842.566,8842.799,8824.566,8832.766,NA,NA,NA,NA
194,NA,NA,7129.499,7130.132,10921.198,10921.865,8845.166,8874.266,8834.466,8834.666,NA,NA,NA,NA
195,NA,NA,7132.666,7133.966,10923.298,11520.298,8897.732,8897.832,8842.032,8842.066,NA,NA,NA,NA
196,NA,NA,7134.332,7134.366,11520.398,11679.831,8978.332,8979.099,8842.099,8842.266,NA,NA,NA,NA
197,NA,NA,7145.866,7146.199,11680.631,12574.998,8992.666,8992.866,8842.299,8842.566,NA,NA,NA,NA
198,NA,NA,7146.399,7228.966,12576.231,12832.465,8992.999,9016.132,8842.799,8845.166,NA,NA,NA,NA
199,NA,NA,7460.899,7460.966,12832.831,12833.031,9016.699,9016.932,8874.266,8879.732,NA,NA,NA,NA
200,NA,NA,7460.999,7461.132,12836.298,12869.798,9018.399,9020.632,9016.132,9016.699,NA,NA,NA,NA
201,NA,NA,7467.332,7467.366,12869.965,12869.998,9025.232,9031.032,9016.932,9018.399,NA,NA,NA,NA
202,NA,NA,7492.099,7616.166,12870.165,13072.098,9031.232,9032.899,9020.632,9025.232,NA,NA,NA,NA
203,NA,NA,7713.066,7714.066,13072.165,13072.465,9036.566,9043.699,9031.032,9031.232,NA,NA,NA,NA
204,NA,NA,7714.199,7715.366,13072.598,14319.298,9043.766,9049.266,9032.899,9036.566,NA,NA,NA,NA
205,NA,NA,7716.799,7716.966,14319.298,14684.898,9049.599,9052.232,9043.699,9043.766,NA,NA,NA,NA
206,NA,NA,7888.966,8164.699,14887.998,14888.231,9052.399,9057.832,9049.266,9049.599,NA,NA,NA,NA
207,NA,NA,8268.166,8275.832,14888.298,15109.631,9067.966,9068.566,9052.232,9052.399,NA,NA,NA,NA
208,NA,NA,8275.999,8276.466,15839.431,15844.564,9068.999,9069.499,9057.832,9067.966,NA,NA,NA,NA
209,NA,NA,8280.432,8280.499,16095.531,16095.664,9071.199,9505.832,9068.566,9068.999,NA,NA,NA,NA
210,NA,NA,8359.332,8359.466,16095.898,16095.998,9513.932,9518.366,9069.499,9071.199,NA,NA,NA,NA
211,NA,NA,8359.532,8359.766,16096.098,16096.131,9518.966,9519.499,9505.832,9513.932,NA,NA,NA,NA
212,NA,NA,8569.932,8635.266,16096.531,17083.964,9519.766,9520.499,9518.366,9518.966,NA,NA,NA,NA
213,NA,NA,8917.032,8934.366,17085.331,17099.331,9548.866,9548.899,9519.499,9519.766,NA,NA,NA,NA
