"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
316,NA,NA,3537.066,3537.7,8804.599,8854.065,NA,NA,NA,NA,NA,NA
317,NA,NA,3661.232,3661.999,8874.699,8874.732,NA,NA,NA,NA,NA,NA
318,NA,NA,3693.199,3693.232,8874.832,8874.999,NA,NA,NA,NA,NA,NA
319,NA,NA,3695.632,3695.732,8882.232,8882.765,NA,NA,NA,NA,NA,NA
320,NA,NA,3697.132,3709.232,8883.432,8883.499,NA,NA,NA,NA,NA,NA
321,NA,NA,3735.399,3743.766,8883.565,8883.699,NA,NA,NA,NA,NA,NA
322,NA,NA,3746.566,3746.932,8883.765,8887.699,NA,NA,NA,NA,NA,NA
323,NA,NA,3747.332,3747.499,8887.765,8890.232,NA,NA,NA,NA,NA,NA
324,NA,NA,3749.266,3749.399,8891.099,8902.232,NA,NA,NA,NA,NA,NA
325,NA,NA,3750.132,3752.832,9055.399,9062.565,NA,NA,NA,NA,NA,NA
326,NA,NA,3772.899,3777.466,9063.432,9271.465,NA,NA,NA,NA,NA,NA
327,NA,NA,3777.499,3777.832,9355.199,9356.299,NA,NA,NA,NA,NA,NA
328,NA,NA,3777.932,3778.566,9356.699,9359.765,NA,NA,NA,NA,NA,NA
329,NA,NA,3778.599,3778.766,9360.699,9381.199,NA,NA,NA,NA,NA,NA
330,NA,NA,3787.432,3789.032,9553.532,9557.465,NA,NA,NA,NA,NA,NA
331,NA,NA,3806.566,3815.932,9636.299,9636.365,NA,NA,NA,NA,NA,NA
332,NA,NA,3815.999,4257.132,9638.532,9638.832,NA,NA,NA,NA,NA,NA
333,NA,NA,4275.932,4280.332,9638.865,9639.065,NA,NA,NA,NA,NA,NA
334,NA,NA,4280.432,4280.632,9640.232,9641.499,NA,NA,NA,NA,NA,NA
335,NA,NA,4329.199,4329.299,9704.165,9724.932,NA,NA,NA,NA,NA,NA
336,NA,NA,4372.599,4376.832,9724.965,9751.432,NA,NA,NA,NA,NA,NA
337,NA,NA,4376.966,4379.699,9827.999,9835.165,NA,NA,NA,NA,NA,NA
338,NA,NA,4379.732,4381.899,9868.065,9870.032,NA,NA,NA,NA,NA,NA
339,NA,NA,4382.366,4390.532,9902.199,9902.299,NA,NA,NA,NA,NA,NA
340,NA,NA,4391.932,4392.132,9905.799,9906.332,NA,NA,NA,NA,NA,NA
341,NA,NA,4395.766,4402.799,10050.265,10074.532,NA,NA,NA,NA,NA,NA
342,NA,NA,4423.332,4424.066,10177.865,10178.399,NA,NA,NA,NA,NA,NA
343,NA,NA,4424.399,4425.532,10397.032,10397.565,NA,NA,NA,NA,NA,NA
344,NA,NA,4432.266,4434.466,10458.132,10794.465,NA,NA,NA,NA,NA,NA
345,NA,NA,4442.066,4456.766,10794.465,11442.631,NA,NA,NA,NA,NA,NA
346,NA,NA,4461.299,4461.632,11613.364,11678.198,NA,NA,NA,NA,NA,NA
347,NA,NA,4461.666,4463.966,11681.164,11839.031,NA,NA,NA,NA,NA,NA
348,NA,NA,4468.566,4474.032,11865.131,11875.398,NA,NA,NA,NA,NA,NA
349,NA,NA,4476.599,4476.932,12012.798,12048.764,NA,NA,NA,NA,NA,NA
350,NA,NA,4481.299,4482.466,12551.998,12554.264,NA,NA,NA,NA,NA,NA
351,NA,NA,4482.532,4483.599,12630.498,12633.198,NA,NA,NA,NA,NA,NA
352,NA,NA,4483.632,4504.199,12841.898,12847.898,NA,NA,NA,NA,NA,NA
353,NA,NA,4524.532,4524.566,12847.931,12848.398,NA,NA,NA,NA,NA,NA
354,NA,NA,4524.866,4525.932,12848.998,12882.898,NA,NA,NA,NA,NA,NA
355,NA,NA,4525.999,4533.532,13145.164,13145.264,NA,NA,NA,NA,NA,NA
356,NA,NA,4536.266,4536.632,13147.898,13148.031,NA,NA,NA,NA,NA,NA
357,NA,NA,4537.032,4538.099,13148.164,13156.798,NA,NA,NA,NA,NA,NA
358,NA,NA,4539.466,4539.832,13166.731,13167.031,NA,NA,NA,NA,NA,NA
359,NA,NA,4549.299,4575.899,13249.731,13263.664,NA,NA,NA,NA,NA,NA
360,NA,NA,4604.399,4604.466,13263.764,13263.864,NA,NA,NA,NA,NA,NA
361,NA,NA,4604.566,4614.466,13263.898,13263.931,NA,NA,NA,NA,NA,NA
362,NA,NA,4618.166,4618.332,13269.231,13269.664,NA,NA,NA,NA,NA,NA
363,NA,NA,4618.366,4618.699,13271.131,13390.831,NA,NA,NA,NA,NA,NA
364,NA,NA,4630.932,4631.232,13414.698,13418.264,NA,NA,NA,NA,NA,NA
365,NA,NA,4631.266,4632.166,13525.664,13526.631,NA,NA,NA,NA,NA,NA
366,NA,NA,4643.899,4646.399,13607.864,13608.031,NA,NA,NA,NA,NA,NA
367,NA,NA,4646.466,4646.566,13616.698,13804.131,NA,NA,NA,NA,NA,NA
368,NA,NA,4649.199,4650.166,13804.531,13805.998,NA,NA,NA,NA,NA,NA
369,NA,NA,4656.332,4658.066,13808.931,13809.131,NA,NA,NA,NA,NA,NA
370,NA,NA,4658.232,4690.066,13829.031,13850.864,NA,NA,NA,NA,NA,NA
371,NA,NA,4690.099,4690.132,13928.298,13928.364,NA,NA,NA,NA,NA,NA
372,NA,NA,4715.966,4716.266,13928.431,14013.264,NA,NA,NA,NA,NA,NA
373,NA,NA,5015.199,5018.366,14070.598,14089.764,NA,NA,NA,NA,NA,NA
374,NA,NA,5018.532,5018.599,14099.931,14104.331,NA,NA,NA,NA,NA,NA
375,NA,NA,5033.666,5033.866,14175.231,14175.531,NA,NA,NA,NA,NA,NA
376,NA,NA,5036.632,5039.132,14202.698,14202.931,NA,NA,NA,NA,NA,NA
377,NA,NA,5039.832,5049.766,14205.031,14205.664,NA,NA,NA,NA,NA,NA
378,NA,NA,5061.366,5062.199,14230.431,14230.831,NA,NA,NA,NA,NA,NA
379,NA,NA,5062.699,5062.899,14393.031,14394.631,NA,NA,NA,NA,NA,NA
380,NA,NA,5063.232,5063.332,14396.398,14397.931,NA,NA,NA,NA,NA,NA
381,NA,NA,5063.366,5063.632,14436.231,14436.664,NA,NA,NA,NA,NA,NA
382,NA,NA,5081.732,5081.899,14437.464,14440.531,NA,NA,NA,NA,NA,NA
383,NA,NA,5083.899,5086.166,14490.831,14491.131,NA,NA,NA,NA,NA,NA
384,NA,NA,5086.199,5086.766,14491.164,14491.631,NA,NA,NA,NA,NA,NA
385,NA,NA,5086.966,5089.566,14493.798,14494.464,NA,NA,NA,NA,NA,NA
386,NA,NA,5108.866,5198.632,14494.631,14494.898,NA,NA,NA,NA,NA,NA
387,NA,NA,5199.132,5202.399,14494.931,14494.964,NA,NA,NA,NA,NA,NA
388,NA,NA,5202.632,5202.866,14662.364,14662.431,NA,NA,NA,NA,NA,NA
389,NA,NA,5920.532,5928.932,14676.331,14677.264,NA,NA,NA,NA,NA,NA
390,NA,NA,5969.732,5972.166,14678.098,14678.531,NA,NA,NA,NA,NA,NA
391,NA,NA,5972.499,5993.566,14683.498,14684.431,NA,NA,NA,NA,NA,NA
392,NA,NA,5993.766,5994.032,14748.531,14773.498,NA,NA,NA,NA,NA,NA
393,NA,NA,6008.299,6008.766,14774.798,14789.098,NA,NA,NA,NA,NA,NA
