"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Right_start","Contact_Right_stop"
205,9211.333,9214.166,3860.733,3874.133,2238.734,2240.5,3628.466,3629.566,2849.467,2849.967
206,9236.966,9239.766,3874.2,3874.233,2240.6,2242.867,3629.6,3629.633,2850.1,2850.134
207,9318.133,9318.499,3874.266,3875.466,2243.267,2243.667,3629.866,3630.466,2851.8,2852.567
208,9458.733,9459.466,3876.866,3880.866,2243.934,2251.7,3634.833,3635.066,2855.467,2856.134
209,9459.566,9459.633,3893.1,3895.1,2251.767,2256.967,3635.233,3635.566,2856.3,2856.367
210,9459.733,9459.933,3895.2,3895.5,2257.067,2271.334,3635.833,3635.966,2865.367,2867.367
211,9460.233,9461.966,3897.866,3898,2277.7,2303.934,3636,3636.133,2872.3,2872.7
212,9522.766,9527.566,3905,3905.266,2305.7,2306.7,3637.066,3644,2891.134,2891.4
213,9568.266,9576.766,3907.6,3911.7,2306.8,2308.734,3644.166,3656.6,2891.467,2891.5
214,9577.366,9619.033,3912.1,3916.4,2589.667,2589.7,3657.033,3678.733,2891.834,2892.067
215,9620.233,9620.366,3924.766,3925,2589.734,2590.034,3679.2,3679.266,2895.334,2895.4
216,9631.233,9661.499,3928.933,3930.766,2590.067,2590.3,3681.2,3682.933,2897,2897.334
217,9663.966,9666.233,3930.833,3932.5,2590.4,2590.434,3683.433,3683.633,2897.367,2897.5
218,9666.666,9709.999,3932.7,3933.066,2590.467,2590.667,3684.233,3684.366,2897.6,2897.9
219,9710.266,9780.499,3979.966,3980,2590.8,2593.734,3692.766,3692.933,2898.067,2898.234
220,9780.866,9783.199,4012.566,4012.666,2594.167,2594.4,3694.666,3694.7,2898.6,2898.7
221,9881.999,9882.366,4018.833,4020.433,2594.434,2594.9,3694.866,3694.9,2904.467,2904.5
222,9886.299,9987.299,4023.233,4024.2,2595.934,2597.367,3695.433,3695.5,2905.867,2906.967
223,10185.599,10186.066,4024.766,4024.9,2597.867,2598.167,3698.566,3698.766,2907.9,2910.5
224,15066.365,15066.832,4026.3,4026.5,2599.834,2600.067,3699.033,3699.133,2910.634,2910.834
225,15090.832,15096.832,4032.333,4032.566,2600.734,2600.9,3700.7,3700.733,2913.867,2914.067
226,15231.765,15232.365,4032.766,4037.666,2600.934,2601.1,3702.3,3702.966,2915.734,2915.867
227,15286.632,15308.698,4062.933,4063.066,2601.167,2601.7,3703.166,3703.366,2917.167,2917.534
228,15323.232,15323.565,4063.1,4063.166,2842.3,2842.367,3706.433,3709.9,2924.034,2924.234
229,15584.532,15585.998,4081.666,4084.133,2847.9,2847.967,3845.833,3845.9,2924.4,2924.567
230,15639.298,15650.798,4084.166,4084.3,2848.234,2848.3,3850.6,3851.366,2977.834,2977.867
231,15657.098,15718.765,4084.366,4084.4,2849.3,2849.467,3851.633,3852.1,2977.934,2978
232,15775.032,15775.432,4084.433,4084.566,2849.967,2850.1,3853.1,3853.2,3032.234,3032.467
233,15932.032,15956.198,4144.566,4145.166,2850.134,2851.8,3853.466,3853.933,3036.3,3036.4
234,15980.732,15981.198,4148.733,4149.333,2852.567,2855.467,3858.933,3860.533,3036.567,3037.167
235,16004.665,16035.498,4149.433,4149.866,2856.134,2856.3,3860.6,3860.733,3039.234,3039.4
236,16035.632,16035.765,4150.033,4152.433,2856.367,2865.367,3874.133,3874.2,3041.667,3041.767
237,16035.898,16036.632,4247.833,4248.3,2867.367,2872.3,3874.233,3874.266,3043.1,3047.5
238,16036.698,16036.765,4248.533,4248.566,2872.7,2891.134,3875.466,3876.866,3047.667,3047.967
239,16039.365,16039.565,4249.033,4249.666,2891.4,2891.467,3880.866,3893.1,3048.867,3048.934
240,16041.898,16042.032,4407.766,4415.1,2891.5,2891.834,3895.1,3895.2,3049.067,3049.134
241,16079.165,16079.365,4415.866,4416.233,2892.067,2895.334,3895.5,3897.866,3049.8,3050
242,16080.965,16081.598,4416.566,4416.833,2895.4,2897,3898,3905,3050.267,3050.534
243,16130.165,16133.732,4417.3,4424.9,2897.334,2897.367,3905.266,3907.6,3051,3051.634
244,16167.198,16171.065,4425.233,4429.966,2897.5,2897.6,3911.7,3912.1,3052.1,3052.334
245,16199.098,16205.965,4473.2,4473.7,2897.9,2898.067,3916.4,3924.766,3052.434,3052.5
246,16285.432,16314.532,4473.9,4473.966,2898.234,2898.6,3925,3928.933,3052.6,3052.8
