"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Unknown_start","Unknown_stop"
109,15223.032,15226.399,4072.667,4073.3,4463.3,4465.167,1039.567,1042.9,1046.6,1046.634,NA,NA,NA,NA
110,15259.265,15259.799,4073.434,4073.534,4467.167,4469.6,1043.134,1044.1,1047.3,1050.734,NA,NA,NA,NA
111,15338.032,15338.365,4083.9,4086.4,4469.634,4469.7,1044.167,1045.134,1050.867,1050.934,NA,NA,NA,NA
112,15582.365,15601.899,4089.867,4158.534,4469.767,4469.8,1045.4,1045.634,1051,1051.534,NA,NA,NA,NA
113,15692.399,15706.199,4285.667,4286.634,4469.9,4469.967,1046.534,1046.6,1052.034,1052.434,NA,NA,NA,NA
114,15718.365,15718.665,4294.134,4304.067,4470.034,4470.434,1046.634,1047.3,1053.767,1053.867,NA,NA,NA,NA
115,15725.965,15726.565,4304.134,4304.267,4470.5,4471.634,1050.734,1050.867,1055,1064.967,NA,NA,NA,NA
116,15731.699,15737.332,4304.534,4306.4,4471.7,4471.967,1050.934,1051,1065.267,1066.034,NA,NA,NA,NA
117,15756.899,15778.565,4307.267,4308.134,4484.267,4484.434,1051.534,1052.034,1066.067,1068.534,NA,NA,NA,NA
118,15779.099,15779.699,4308.467,4317.734,4491.3,4494.234,1052.434,1053.767,1068.6,1068.934,NA,NA,NA,NA
119,15795.865,15811.565,4346.1,4346.367,4495.134,4495.234,1053.867,1055,1069.567,1069.967,NA,NA,NA,NA
120,15817.132,15817.999,4353.234,4353.834,4495.367,4503.034,1064.967,1065.267,1073.767,1074.834,NA,NA,NA,NA
121,15818.365,15823.199,4353.967,4354.034,4503.234,4503.334,1066.034,1066.067,1075,1076.534,NA,NA,NA,NA
122,15844.965,15845.965,4354.834,4356.367,4532.867,4533.034,1068.534,1068.6,1077.567,1078.7,NA,NA,NA,NA
123,16323.098,16324.065,4356.634,4356.7,4533.167,4534.1,1068.934,1069.567,1078.767,1078.8,NA,NA,NA,NA
124,16400.731,16409.598,4356.767,4365.2,4534.267,4534.434,1069.967,1073.767,1079.534,1080.2,NA,NA,NA,NA
125,16502.565,16524.565,4365.767,4393.034,4535.634,4536.834,1074.834,1075,1080.9,1082.734,NA,NA,NA,NA
126,16525.398,16525.431,4408.467,4463.3,4540.3,4543.3,1076.534,1077.567,1346.467,1360.367,NA,NA,NA,NA
127,16525.498,16527.098,4465.167,4467.167,4543.6,4544.134,1078.7,1078.767,1360.4,1360.934,NA,NA,NA,NA
128,16528.065,16529.065,4469.6,4469.634,4803.8,4804.734,1078.8,1079.534,1361.034,1362.034,NA,NA,NA,NA
129,NA,NA,4469.7,4469.767,4805.067,4805.8,1080.2,1080.9,1362.167,1363.167,NA,NA,NA,NA
130,NA,NA,4469.8,4469.9,4806.167,4827.967,1082.734,1090.667,1364.9,1368.634,NA,NA,NA,NA
131,NA,NA,4469.967,4470.034,4828,4828.034,1345.467,1346.467,1369.1,1369.7,NA,NA,NA,NA
132,NA,NA,4470.434,4470.5,4828.234,4833.434,1360.367,1360.4,1369.834,1371.567,NA,NA,NA,NA
133,NA,NA,4471.634,4471.7,4896.4,4908.967,1360.934,1361.034,1371.634,1373.634,NA,NA,NA,NA
134,NA,NA,4471.967,4484.267,4909.034,4969.067,1362.034,1362.167,1375.167,1379.967,NA,NA,NA,NA
135,NA,NA,4484.434,4491.3,5090.7,5092.3,1363.167,1364.9,1380.034,1380.1,NA,NA,NA,NA
136,NA,NA,4494.234,4495.134,5095.167,5095.4,1368.634,1369.1,1383.367,1383.5,NA,NA,NA,NA
137,NA,NA,4495.234,4495.367,5096.4,5099.3,1369.7,1369.834,1597.067,1597.234,NA,NA,NA,NA
138,NA,NA,4503.034,4503.234,5099.434,5102,1371.567,1371.634,1604.067,1604.267,NA,NA,NA,NA
