"X1","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
29,192.367,192.6,189.767,190.267,867.7,868.334,323.067,323.134,346.7,365.734,NA,NA
30,193.534,195.367,192.2,192.367,952.534,954.034,323.534,345.067,456.934,469.634,NA,NA
31,227.2,227.234,192.6,193.534,1001.1,1008.534,345.234,345.267,469.734,471.534,NA,NA
32,230.634,230.667,227.134,227.2,1051.034,1052.234,345.334,345.467,543.134,543.467,NA,NA
33,231.567,231.7,227.234,230.634,1177.467,1178.367,345.567,345.634,543.7,543.734,NA,NA
34,231.734,231.834,231.7,231.734,1213.167,1213.7,346.4,346.7,543.8,544.934,NA,NA
35,240.134,241.234,231.834,240.134,1214.067,1214.134,365.734,371.267,591.567,591.634,NA,NA
36,241.567,241.7,241.234,241.567,1215.467,1216.067,424.2,456.934,591.7,608.434,NA,NA
37,243.667,243.8,241.7,243.667,1216.467,1228.667,469.634,469.734,608.7,608.834,NA,NA
38,244.767,246.4,243.8,244.767,1556.167,1570.967,471.534,475.2,609,622.667,NA,NA
39,246.667,246.7,246.4,246.667,1633.167,1634.367,476.8,502.034,673.267,673.667,NA,NA
40,247,247.5,246.7,247,1702.067,1704.167,520,543.134,673.834,701.367,NA,NA
41,249,249.1,247.5,249,1732.9,1745.5,543.467,543.7,702.3,702.934,NA,NA
42,249.534,249.967,249.1,249.534,1767.5,1775.9,543.734,543.8,769.567,769.734,NA,NA
43,250.2,250.234,249.967,250.2,1804.234,1808.034,544.934,591.567,770,775.334,NA,NA
44,250.5,251.1,250.234,250.5,1893.167,1930.334,591.634,591.7,871.434,884.434,NA,NA
45,251.267,251.667,251.1,251.267,1930.467,1930.734,608.434,608.7,884.667,887.034,NA,NA
46,252.9,253.534,251.667,252.9,1994.867,2042.4,608.834,609,889.134,927.7,NA,NA
47,253.634,257.7,253.534,253.634,2055.767,2060.567,622.667,635.367,927.767,927.8,NA,NA
48,258.067,258.134,257.7,258.067,2241.8,2242.934,672.1,673.267,928.034,928.634,NA,NA
49,258.434,258.467,258.134,258.434,2315.367,2323.367,673.667,673.834,930,930.467,NA,NA
50,258.534,258.567,258.467,258.534,2327.834,2330.767,701.367,702.3,940.034,941.1,NA,NA
51,259,259.134,258.567,259,2361.067,2361.734,702.934,717.167,1014.3,1021.667,NA,NA
52,261.3,274.5,259.134,261.3,2387.767,2408.867,768.867,769.567,1186.367,1186.467,NA,NA
53,385.6,385.667,377.234,385.6,2467.134,2482.867,769.734,770,1186.7,1201.434,NA,NA
54,389.734,389.867,385.667,389.734,2515.167,2527.5,775.334,801.934,1201.5,1208.067,NA,NA
55,390.2,390.3,389.867,390.2,2575.334,2576.434,868.334,871.434,1574.734,1574.834,NA,NA
56,391.867,391.967,390.3,391.867,2603.734,2604.7,884.434,884.667,1574.967,1575.167,NA,NA
57,392.067,392.534,391.967,392.067,2607.834,2616.1,887.034,889.134,1575.467,1591.267,NA,NA
58,392.6,392.834,392.534,392.6,2640.234,2641.1,927.7,927.767,1591.4,1605.334,NA,NA
59,393.134,393.234,392.834,393.134,2672.7,2758.334,927.8,928.034,1605.4,1605.534,NA,NA
60,393.634,393.834,393.234,393.634,2802.567,2802.6,928.634,930,1605.6,1620.567,NA,NA
61,393.867,394.034,393.834,393.867,2802.934,2803,930.467,940.034,1721.667,1727.967,NA,NA
62,394.5,395.6,394.034,394.5,2803.867,2806.4,941.1,952.534,1731.467,1732.2,NA,NA
63,395.7,395.8,395.6,395.7,2844.8,2848.6,1008.534,1010.034,1732.5,1732.9,NA,NA
64,396.167,397.234,395.8,396.167,2855.334,2860.834,1021.667,1051.034,1776.2,1777.434,NA,NA
65,397.667,397.8,397.234,397.667,2909.2,2925.767,1178.367,1186.367,1777.7,1777.734,NA,NA
66,399.834,399.9,399.9,400.2,2946.434,2980.734,1186.467,1186.7,1777.767,1778.667,NA,NA
67,400.2,400.434,400.434,400.5,3001.234,3002,1201.434,1201.5,1784.734,1785.8,NA,NA
68,400.5,423.367,506.4,515.1,3035.534,3036.1,1208.067,1213.167,1930.334,1930.467,NA,NA
69,503.767,506.4,515.334,516.967,3405.167,3405.767,1213.7,1214.067,1930.767,1943.9,NA,NA
70,515.1,515.334,517.367,518.867,3459.334,3478.8,1214.134,1215.467,1943.934,1944.034,NA,NA
71,516.967,517.367,649.234,666.234,3483.667,3489.934,1216.067,1216.467,1944.234,1944.3,NA,NA
