"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
151,1132.867,1133.167,976.867,977.167,9823.233,9824.333,1655.2,1656.7,2197.734,2197.934,NA,NA,NA,NA
152,1133.267,1133.3,978.3,978.734,9828.866,9829.6,1658.034,1658.534,2198.167,2199.167,NA,NA,NA,NA
153,1133.6,1133.7,979.4,985.434,9853.9,9854.633,1659.9,1660.067,2200.067,2201.034,NA,NA,NA,NA
154,1134.7,1134.9,985.634,986.1,9906.166,9908.833,1661.067,1668.367,2257.7,2257.767,NA,NA,NA,NA
155,1135.567,1135.667,986.4,986.6,10011.566,10020.666,1721.534,1722.534,2257.8,2263.2,NA,NA,NA,NA
156,1135.934,1136.967,988.9,990.4,10029.566,10030.333,1890.634,1891.467,2264.4,2264.6,NA,NA,NA,NA
157,1148.834,1148.9,1002.167,1012.167,10065.6,10066.166,1891.567,1891.7,2266.8,2267.467,NA,NA,NA,NA
158,1171.734,1171.767,1013.467,1014.034,10101.033,10102.166,1894.134,1894.167,2267.767,2268.3,NA,NA,NA,NA
159,1171.9,1172.8,1026.067,1031.1,12285.5,12286.166,1896.6,1905.2,2269.334,2269.467,NA,NA,NA,NA
160,1172.9,1174.767,1111.734,1112.567,12368.066,12369.8,1907.334,1907.434,2596.134,2604.234,NA,NA,NA,NA
161,1175.8,1175.867,1112.634,1112.8,12407.1,12410.566,1957.734,1960.867,2605.8,2605.967,NA,NA,NA,NA
162,1176.2,1177.067,1112.834,1113.767,12424.433,12437.133,1960.934,1961,2610.067,2610.2,NA,NA,NA,NA
163,1177.3,1177.334,1113.867,1113.9,12479.4,12485.866,1961.934,1962,2610.267,2615.434,NA,NA,NA,NA
164,1177.8,1178.034,1115.667,1115.7,12582.266,12582.733,1962.067,1962.1,2635.134,2635.2,NA,NA,NA,NA
165,1178.1,1178.234,1130.6,1130.867,12645.2,12662.833,1962.234,1962.267,2635.267,2635.8,NA,NA,NA,NA
166,1181.534,1181.6,1130.934,1131.134,12664.733,12665.233,1967.1,1967.434,2653.267,2653.3,NA,NA,NA,NA
167,1184.467,1184.5,1131.6,1131.7,12831.166,12837.6,1969.2,1978.834,2653.5,2661.534,NA,NA,NA,NA
168,1184.7,1185.267,1131.734,1131.767,12889.966,12890.566,1979.467,1979.6,2661.7,2668.667,NA,NA,NA,NA
169,1185.767,1186.134,1132.7,1132.867,12992.433,12993.966,1979.967,1983.534,2708.6,2709.467,NA,NA,NA,NA
170,1186.2,1186.267,1133.167,1133.267,13018.8,13025.1,2074.067,2074.767,2710.067,2711.367,NA,NA,NA,NA
171,1186.667,1187.867,1133.3,1133.6,13025.133,13025.3,2074.834,2074.9,2711.6,2711.8,NA,NA,NA,NA
172,1188.4,1191.134,1133.7,1134.7,13025.433,13025.566,2074.934,2076.4,2711.967,2716.234,NA,NA,NA,NA
173,1191.934,1192.134,1134.9,1135.567,13181.866,13204.833,2104.367,2109.934,2764.034,2773.167,NA,NA,NA,NA
174,1195.234,1195.334,1135.667,1135.934,13249.1,13253.633,2144.567,2145.3,2773.234,2775.034,NA,NA,NA,NA
175,1197.8,1198.067,1136.967,1139.334,13911.699,13952.599,2145.567,2145.9,2881.6,2882,NA,NA,NA,NA
176,1198.134,1198.367,1142.3,1146.967,13972.599,13974.099,2146.4,2146.5,2882.267,2883.867,NA,NA,NA,NA
177,1198.434,1199.367,1148.1,1148.834,14156.866,14158.666,2146.8,2152.167,2938.667,2938.767,NA,NA,NA,NA
178,1202.867,1202.934,1148.9,1171.734,14322.166,14332.866,2152.334,2152.4,2938.967,2941.7,NA,NA,NA,NA
179,1204.067,1204.234,1171.767,1171.9,14357.799,14358.499,2152.834,2152.867,2941.733,2942.133,NA,NA,NA,NA
180,1204.367,1206.367,1172.8,1172.9,14452.032,14513.799,2153.167,2166.034,5584.233,5586.566,NA,NA,NA,NA
181,1206.434,1206.5,1174.767,1175.8,14522.599,14525.232,2196.734,2197.5,5609.366,5609.566,NA,NA,NA,NA
182,1289.667,1289.734,1175.867,1176.2,14713.066,14718.166,2197.6,2197.634,5609.633,5717.4,NA,NA,NA,NA
183,1289.8,1290.2,1177.067,1177.3,14836.666,14841.599,2197.667,2197.734,5717.466,5717.933,NA,NA,NA,NA
184,1293.034,1293.167,1177.334,1177.8,14859.632,14864.432,2197.934,2198.167,6563.133,6572.4,NA,NA,NA,NA
185,1293.3,1293.534,1178.034,1178.1,14944.832,14991.732,2199.167,2200.067,6573.566,6574.033,NA,NA,NA,NA
186,1294.867,1295.134,1178.234,1181.534,14993.399,14994.132,2201.034,2202.2,6574.5,6576.4,NA,NA,NA,NA
187,1295.8,1296.634,1181.6,1184.467,15052.966,15071.166,2256.767,2257.7,6576.633,6584.2,NA,NA,NA,NA
188,1297.9,1298,1184.5,1184.7,15145.166,15150.066,2257.767,2257.8,6584.533,6586.033,NA,NA,NA,NA
189,1301.867,1302.134,1185.267,1185.767,15281.966,15282.732,2263.2,2264.4,6742.9,6744.033,NA,NA,NA,NA
190,1302.2,1302.8,1186.134,1186.2,15318.299,15326.699,2264.6,2266.8,6744.233,6745.6,NA,NA,NA,NA
191,1303.734,1307.9,1186.267,1186.667,15326.732,15326.866,2267.467,2267.767,6745.833,6749.133,NA,NA,NA,NA
192,1308.367,1311.634,1187.867,1188.4,15657.766,15661.332,2268.3,2269.334,6749.2,6750.5,NA,NA,NA,NA
193,1311.9,1311.967,1191.134,1191.934,15702.799,15717.799,2269.467,2270.467,6750.533,6750.866,NA,NA,NA,NA
194,1312.3,1312.434,1192.134,1195.234,15718.066,15718.366,2275.967,2294.6,6870.633,6870.733,NA,NA,NA,NA
195,1313.834,1314.034,1195.334,1197.8,15718.999,15780.099,2587,2596.134,6870.8,6870.866,NA,NA,NA,NA
196,1315.034,1315.067,1198.067,1198.134,15865.966,15866.932,2604.234,2605.8,6948.9,6949,NA,NA,NA,NA
197,1315.334,1315.367,1198.367,1198.434,16142.132,16142.766,2605.967,2610.067,6949.033,6949.1,NA,NA,NA,NA
198,1315.6,1315.567,1199.367,1202.867,16185.932,16186.366,2610.2,2610.267,6952.566,6952.666,NA,NA,NA,NA
199,1317.6,1317.667,1202.934,1204.067,16240.099,16262.199,2615.434,2635.134,6952.7,6954.866,NA,NA,NA,NA
200,1357.934,1357.967,1204.234,1204.367,16444.166,16477.466,2635.2,2635.267,6955.066,6955.533,NA,NA,NA,NA
201,1358.1,1358.334,1206.367,1206.434,16482.466,16489.232,2635.8,2653.267,6955.6,6960.1,NA,NA,NA,NA
202,1358.367,1358.4,1206.5,1246.7,16530.799,16558.866,2653.3,2653.5,7071.066,7071.466,NA,NA,NA,NA
203,1359.267,1359.467,1283.667,1289.667,16646.699,16648.632,2661.534,2661.7,7416.266,7416.8,NA,NA,NA,NA
204,1361.034,1361.067,1289.734,1289.8,16764.532,16768.666,2668.667,2672.167,7416.9,7429.133,NA,NA,NA,NA
205,1362.634,1364.7,1290.2,1293.034,16837.066,16837.432,2707.434,2708.6,7471.566,7471.633,NA,NA,NA,NA
206,1367.267,1367.3,1293.167,1293.3,16864.366,16869.432,2709.467,2710.067,7471.666,7471.933,NA,NA,NA,NA
207,1367.4,1367.434,1293.534,1294.867,17104.332,17104.799,2711.367,2711.6,7472,7474.9,NA,NA,NA,NA
208,1395.734,1398.334,1295.134,1295.8,19940.232,19963.032,2711.8,2711.967,7922.9,7922.933,NA,NA,NA,NA
209,1399.867,1400,1296.634,1297.9,19989.065,19991.365,2716.234,2718.467,7923.133,7923.766,NA,NA,NA,NA
210,1400.867,1401,1298,1301.867,20018.698,20021.132,2761.834,2764.034,8069.133,8069.333,NA,NA,NA,NA
211,1401.667,1402.2,1302.134,1302.2,20088.165,20105.498,2773.167,2773.234,8069.366,8097.133,NA,NA,NA,NA
212,1402.467,1402.534,1302.8,1303.734,20216.132,20216.765,2775.034,2775.834,8477.766,8488.166,NA,NA,NA,NA
213,1402.934,1403,1307.9,1308.367,20246.598,20246.665,2837.534,2844.167,8535.066,8536.8,NA,NA,NA,NA
214,1403.2,1407.267,1311.634,1311.9,20247.132,20288.498,2881.1,2881.6,8651.233,8677.8,NA,NA,NA,NA
215,1415.9,1416.1,1311.967,1312.3,20303.298,20303.532,2882,2882.267,8933.6,8933.633,NA,NA,NA,NA
216,1419.5,1419.667,1312.434,1313.834,20303.632,20303.665,2883.867,2884.334,8934.6,8939.666,NA,NA,NA,NA
217,1421.2,1421.234,1314.034,1315.034,20303.765,20306.165,2929.467,2938.667,8969.966,8970.266,NA,NA,NA,NA
218,1429.467,1429.967,1315.067,1315.334,20306.765,20306.898,2938.767,2938.967,9117.7,9121.4,NA,NA,NA,NA
219,1454.567,1454.634,1315.367,1315.6,20307.065,20308.665,2941.7,2941.733,9239.8,9244.166,NA,NA,NA,NA
220,1454.734,1454.8,1315.567,1317.6,20308.732,20308.765,2942.133,2945,9300.733,9300.766,NA,NA,NA,NA
221,1455.234,1456.767,1317.667,1328.534,20309.032,20309.165,5583.9,5584.233,9303.433,9303.533,NA,NA,NA,NA
222,1456.8,1456.834,1342.067,1357.934,20309.232,20310.532,5586.566,5609.366,9361.833,9469.033,NA,NA,NA,NA
223,1456.867,1456.934,1357.967,1358.1,20310.632,20310.865,5609.566,5609.633,9473.366,9473.633,NA,NA,NA,NA
224,1457.567,1458.4,1358.334,1358.367,20310.898,20311.632,5717.4,5717.466,9477.033,9477.433,NA,NA,NA,NA
225,1459.867,1460.067,1358.4,1359.267,20331.765,20332.465,5717.933,5718.8,9477.9,9478.766,NA,NA,NA,NA
226,1460.467,1466.8,1359.467,1361.034,20400.065,20400.532,6561.266,6563.133,9479.633,9481.033,NA,NA,NA,NA
227,1466.967,1469.267,1361.067,1362.634,20413.232,20426.498,6572.4,6573.566,9481.166,9541.9,NA,NA,NA,NA
