"X1","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Center_start","Center_stop","Unknown_start","Unknown_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Center_start","Contact_Center_stop"
160,3216.983,3240.116,4015.716,4018.149,6990.116,6993.782,NA,NA,2309.783,2361.716,3277.049,3281.649,NA,NA
161,3316.616,3317.149,4021.149,4037.616,6995.649,6996.782,NA,NA,2361.849,2363.049,3294.416,3295.149,NA,NA
162,3317.183,3317.516,4088.849,4094.882,6996.916,6998.449,NA,NA,2363.283,2363.383,3533.849,3534.383,NA,NA
163,3391.983,3394.449,4283.049,4284.316,6998.582,7014.849,NA,NA,2363.616,2363.649,3536.883,3537.416,NA,NA
164,3405.049,3406.449,4285.282,4285.682,7174.849,7178.716,NA,NA,2365.616,2367.083,3556.983,3557.149,NA,NA
165,3406.516,3415.049,4293.116,4297.549,7264.482,7266.282,NA,NA,2367.216,2367.849,3558.516,3558.583,NA,NA
166,3415.349,3416.683,4317.482,4317.516,7313.849,7334.249,NA,NA,2367.883,2368.149,3558.649,3558.683,NA,NA
167,3416.716,3417.049,4317.549,4317.582,7412.582,7415.749,NA,NA,2368.849,2369.149,3559.616,3559.783,NA,NA
168,3417.216,3417.649,4317.782,4317.816,7417.049,7418.882,NA,NA,2369.216,2374.283,3563.616,3565.616,NA,NA
169,3419.516,3420.049,4317.882,4317.949,7420.015,7421.649,NA,NA,2374.616,2383.549,3569.849,3570.216,NA,NA
170,3421.783,3422.316,4318.016,4318.182,7439.349,7469.915,NA,NA,2393.116,2396.083,3570.383,3571.083,NA,NA
171,3426.916,3426.983,4318.249,4319.882,9514.749,9515.882,NA,NA,2396.616,2397.149,3573.149,3573.283,NA,NA
172,3427.383,3460.716,4319.982,4320.216,9515.915,9516.382,NA,NA,2433.983,2434.316,3574.049,3575.216,NA,NA
173,3464.483,3465.183,4330.116,4330.582,9516.715,9516.982,NA,NA,2434.783,2489.883,3578.183,3578.449,NA,NA
174,3492.616,3492.683,4330.616,4335.849,9636.715,9644.582,NA,NA,2947.183,2949.749,3579.882,3580.149,NA,NA
175,3510.583,3510.683,4364.482,4364.616,9654.749,9655.615,NA,NA,2956.849,2957.549,3924.316,3927.682,NA,NA
176,3513.783,3515.683,4364.682,4364.749,9672.982,9675.315,NA,NA,2963.049,2963.116,3929.049,3929.649,NA,NA
177,3519.549,3532.949,4364.916,4365.016,9743.149,9743.615,NA,NA,2963.183,2973.516,3929.816,3930.049,NA,NA
178,3580.716,3580.882,4365.049,4365.149,9814.682,9815.382,NA,NA,2975.216,2975.816,3930.649,3944.816,NA,NA
179,3580.916,3580.982,4365.649,4365.716,9815.615,9816.149,NA,NA,3200.849,3200.983,3945.616,3945.749,NA,NA
180,3586.149,3586.382,4365.782,4365.982,9816.182,9816.649,NA,NA,3201.449,3201.483,3946.349,3946.382,NA,NA
181,3596.549,3597.216,4366.016,4368.382,9816.749,9816.982,NA,NA,3201.516,3214.316,3949.082,3951.816,NA,NA
182,3597.249,3600.282,4368.416,4369.782,9912.615,9914.882,NA,NA,3214.549,3214.616,3963.182,3963.249,NA,NA
183,3602.282,3602.982,4369.882,4370.216,9924.849,9929.915,NA,NA,3251.683,3263.616,3968.416,3968.549,NA,NA
184,3605.249,3606.216,4370.582,4370.716,9953.315,9976.982,NA,NA,3264.583,3266.049,4063.082,4063.216,NA,NA
185,3606.549,3607.649,4371.882,4372.282,9977.049,9977.182,NA,NA,3266.683,3268.183,4123.416,4123.616,NA,NA
186,3621.482,3631.849,4372.482,4378.916,9977.582,9979.515,NA,NA,3270.383,3277.049,4142.716,4145.382,NA,NA
187,3640.416,3649.582,4379.282,4380.082,10008.282,10011.749,NA,NA,3281.649,3294.416,4149.782,4149.916,NA,NA
188,3748.016,3756.716,4492.349,4492.516,10019.915,10024.182,NA,NA,3534.383,3536.883,4149.982,4150.582,NA,NA
189,3774.682,3831.316,4492.616,4493.149,10024.215,10024.415,NA,NA,3537.416,3556.983,4150.949,4151.416,NA,NA
190,3832.649,3836.616,4493.249,4493.349,10024.449,10024.649,NA,NA,3557.149,3558.516,4151.549,4151.616,NA,NA
191,3837.016,3837.082,4493.716,4494.482,10024.849,10034.249,NA,NA,3558.583,3558.649,4151.882,4152.249,NA,NA
192,3837.316,3837.349,4494.616,4496.116,10054.649,10055.882,NA,NA,3558.683,3559.616,4160.616,4165.049,NA,NA
193,3837.416,3837.449,4509.316,4510.249,10056.349,10056.449,NA,NA,3559.783,3563.616,4165.316,4165.549,NA,NA
194,3838.049,3838.516,4522.016,4528.016,10068.049,10071.015,NA,NA,3565.616,3569.849,4173.482,4178.616,NA,NA
