"X1","Center_start","Center_stop","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
30,224.333,224.367,82.867,82.933,168.6,170.267,163.4,164.2,224.2,224.3,NA,NA
31,227.233,244.533,83.367,84.167,170.933,171,176.5,181.233,224.933,224.967,NA,NA
32,251.4,252.167,84.567,85.233,171.167,171.2,183.1,183.8,225.2,225.233,NA,NA
33,318.4,323.8,85.3,85.467,172.6,173.467,221.467,222.6,225.267,225.3,NA,NA
34,360.567,364.167,130.8,130.9,173.533,173.6,223.733,224.2,225.367,225.4,NA,NA
35,383.567,386.967,130.933,130.967,184.433,184.733,224.3,224.333,225.567,225.667,NA,NA
36,395.167,395.967,134.133,134.233,185.5,185.867,224.367,224.933,225.7,225.767,NA,NA
37,442.833,444.2,134.267,134.467,187.5,188.967,224.967,225.2,225.833,225.967,NA,NA
38,448.4,454.733,134.533,136.7,189.833,190,225.233,225.267,226,226.1,NA,NA
39,455,456.5,166.4,166.433,190.367,190.467,225.3,225.367,255.467,255.733,NA,NA
40,456.567,456.6,166.833,167.433,190.7,190.767,225.4,225.567,258.933,259.367,NA,NA
41,456.767,486.133,168.5,168.6,191.033,191.367,225.667,225.7,259.867,261.9,NA,NA
42,491.467,493.1,170.267,170.933,191.867,191.9,225.767,225.833,262,263,NA,NA
43,506.267,509,171,171.167,191.967,192,225.967,226,263.167,263.633,NA,NA
44,510.133,521.433,171.2,172.6,192.133,192.467,226.1,227.233,267.2,267.267,NA,NA
45,542.1,549.8,173.467,173.533,192.767,192.867,252.167,255.467,270.867,270.9,NA,NA
46,561.8,562.433,184.733,185.5,202.7,203.7,255.733,258.933,271.333,272.067,NA,NA
47,575.167,814.667,185.867,187.5,209.167,209.233,259.367,259.867,274.967,275.433,NA,NA
48,840.233,841,188.967,189.833,209.767,209.8,261.9,262,279.733,280.3,NA,NA
49,846.667,853.767,190,190.367,215.867,216.1,263,263.167,280.333,280.433,NA,NA
50,892.9,936.767,190.467,190.7,220.067,220.1,263.633,267.2,288.933,288.967,NA,NA
51,939.1,964.9,190.767,191.033,244.533,245.833,267.267,270.867,289,289.367,NA,NA
52,986.733,987.067,191.367,191.867,246.333,246.533,270.9,271.333,289.5,289.667,NA,NA
53,987.167,987.367,191.9,191.967,246.733,248.167,272.067,274.967,325.167,325.3,NA,NA
54,988.033,996.667,192,192.133,248.6,248.833,275.433,279.733,325.533,326.533,NA,NA
55,1004.567,1033.633,192.467,192.767,251.1,251.4,280.3,280.333,326.767,326.967,NA,NA
56,1059.733,1164.133,203.7,209.167,364.167,364.867,280.433,288.933,327.167,332.7,NA,NA
57,1201.733,1286.567,209.233,209.767,367.4,367.433,288.967,289,332.833,333.033,NA,NA
58,1296.667,1297.667,209.8,215.867,367.467,367.867,289.367,289.5,333.1,356.033,NA,NA
59,1314.667,1315.8,216.1,220.067,368.033,368.133,289.667,318.4,356.4,358.167,NA,NA
60,1327.9,1448.233,245.833,246.333,368.467,368.5,323.8,325.167,358.3,358.567,NA,NA
61,1452.433,1491.633,246.533,246.733,368.533,368.733,325.3,325.533,446.067,446.333,NA,NA
62,1506.367,1507.633,248.167,248.6,372.167,372.3,326.533,326.767,446.533,446.9,NA,NA
63,1511.5,1513.867,248.833,251.1,372.833,373.067,326.967,327.167,551.467,551.567,NA,NA
64,1513.9,1513.933,364.867,367.4,373.167,374.167,332.7,332.833,551.8,553.867,NA,NA
65,1514.933,1515.033,367.433,367.467,374.233,374.267,333.033,333.1,554.2,554.267,NA,NA
66,1515.633,1516.033,367.867,368.033,374.5,374.533,356.033,356.4,554.8,554.867,NA,NA
67,1551.4,1627.8,368.133,368.467,374.8,375,358.167,358.3,560.867,561.533,NA,NA
68,1649.433,1649.533,368.5,368.533,375.967,376.033,358.567,360.567,817.467,817.633,NA,NA
69,1649.567,1649.767,368.733,372.167,376.533,376.667,386.967,395.167,817.767,839.7,NA,NA
70,1655.133,1664,372.3,372.833,377.067,377.3,444.2,446.067,880.2,880.267,NA,NA
71,1665.4,1666.1,373.067,373.167,377.367,377.433,446.333,446.533,880.333,881.033,NA,NA
72,1669.533,1670.467,374.167,374.233,377.467,379.967,446.9,448.4,882.6,892.4,NA,NA
73,1768.033,1786.067,374.267,374.5,380.133,380.2,454.733,455,1171.533,1180.3,NA,NA
74,1788.233,1834.9,374.533,374.8,383.267,383.567,456.533,456.567,1180.433,1197.333,NA,NA
75,1879.8,1957.667,375,375.967,395.967,435.333,456.6,456.767,1198.2,1199.9,NA,NA
76,1964.333,1965.567,376.033,376.533,435.9,436.133,486.133,491.467,1298.3,1301.333,NA,NA
77,2004.433,2012.933,376.667,377.067,437.5,437.6,509,510.133,1311.333,1311.4,NA,NA
78,2013.933,2037.167,377.3,377.367,437.933,438.6,549.8,551.467,1311.533,1312.467,NA,NA
79,2053.567,2053.767,377.433,377.467,438.933,442.833,551.567,551.8,1496.667,1497.3,NA,NA
80,2056.2,2057.533,379.967,380.133,493.1,494.8,553.867,554.2,1497.767,1503.733,NA,NA
81,2060.3,2112.4,380.2,383.267,495.767,496.4,554.267,554.8,1503.767,1504.733,NA,NA
82,2141,2146.267,435.333,435.9,503.467,506.267,554.867,560.867,1504.867,1505.433,NA,NA
83,2171.833,2172.767,436.133,437.5,521.433,542.1,561.533,561.8,1536,1536.233,NA,NA
84,2176.433,2176.9,437.6,437.933,562.433,564.9,814.667,817.467,1664.533,1664.833,NA,NA
85,2230.033,2388.333,438.6,438.933,574.033,574.067,817.633,817.767,1754.4,1755.233,NA,NA
86,2403,2429.2,494.8,495.767,574.367,575.167,839.7,840.233,1759.433,1760,NA,NA
87,2430.067,2500.733,496.4,503.467,841,843.167,853.767,880.2,1836.467,1836.633,NA,NA
88,2501.067,2501.233,564.9,574.033,844.467,844.7,880.267,880.333,1845.267,1845.367,NA,NA
89,2501.333,2501.467,574.067,574.367,844.8,845.133,881.033,882.6,1846.733,1847.033,NA,NA
90,2502.3,2504.933,843.167,844.467,845.433,846.667,892.4,892.9,1847.233,1847.767,NA,NA
91,2519,2519.733,844.7,844.8,964.9,986.733,936.767,939.1,1969.233,1969.3,NA,NA
92,2561.367,2568.033,845.133,845.433,987.067,987.167,996.667,1004.567,1969.5,1969.567,NA,NA
93,2568.767,2570.167,1055.267,1058.933,987.367,988.033,1164.133,1171.533,1969.633,1969.7,NA,NA
94,2609.133,2618.667,1316.9,1320.867,1033.633,1055.267,1180.3,1180.433,1969.767,1969.867,NA,NA
95,2619.1,2619.233,1322.733,1326.567,1058.933,1059.733,1197.333,1198.2,1969.933,1969.967,NA,NA
96,2619.267,2619.9,1628.933,1629.2,1286.567,1296.667,1199.9,1201.733,1970.433,1970.633,NA,NA
97,2620.033,2620.233,1630.967,1631.567,1315.8,1316.9,1297.667,1298.3,1970.667,1970.7,NA,NA
98,2621.467,2638,1632.2,1641.9,1320.867,1322.733,1301.333,1311.333,1970.733,1970.867,NA,NA
99,2638.267,2715.933,1642.3,1644.367,1326.567,1327.9,1311.4,1311.533,1970.933,1970.967,NA,NA
100,2736.967,2925.267,1667,1668.8,1448.233,1452.433,1312.467,1314.667,1971.033,1972.633,NA,NA
101,2928.867,2932.5,1959,1959.533,1627.8,1628.933,1491.633,1496.667,1972.667,1972.933,NA,NA
102,2950.2,3130.1,1959.6,1959.667,1629.2,1630.967,1497.3,1497.767,1973.033,1980.733,NA,NA
103,3199.233,3313.433,1959.967,1960.033,1631.567,1632.2,1503.733,1503.767,1981.933,1983.5,NA,NA
104,3318.9,3326.267,1960.067,1960.1,1641.9,1642.3,1504.733,1504.867,1983.933,1985.7,NA,NA
105,3359.933,3430.1,1960.267,1960.367,1644.367,1649.433,1505.433,1506.367,1986,1986.133,NA,NA
106,3433.067,3440.667,1960.433,1960.467,1649.533,1649.567,1507.633,1511.5,1986.167,1986.4,NA,NA
107,3448.767,3450.667,1960.567,1961.167,1649.767,1655.133,1513.867,1513.9,1986.467,1986.533,NA,NA
108,3450.7,3459.433,1961.2,1961.233,1666.1,1667,1513.933,1514.933,1986.7,1993.233,NA,NA
109,3462.1,3466.233,1961.3,1964.333,1668.8,1669.533,1515.033,1515.633,1993.567,1995.5,NA,NA
110,3485.967,3486.667,2174.5,2174.767,1786.067,1788.233,1516.033,1536,1995.567,1995.6,NA,NA
111,3496.133,3496.933,2397.833,2397.867,1957.667,1959,1536.233,1551.4,1995.933,1999.9,NA,NA
112,3512.767,3541.2,2398.133,2398.367,1959.533,1959.6,1664,1664.533,2000.033,2000.133,NA,NA
113,3541.433,3575.433,2521.067,2521.4,1959.667,1959.967,1664.833,1665.4,2113.233,2119.567,NA,NA
114,3582.067,3592.633,2602.033,2606.167,1960.033,1960.067,1670.467,1754.4,2120.767,2122.4,NA,NA
115,3592.867,3592.967,2606.533,2608.833,1960.1,1960.267,1755.233,1759.433,2131.2,2134.867,NA,NA
116,3608.066,3669.133,3315.167,3315.233,1960.367,1960.433,1760,1768.033,2136.6,2137.833,NA,NA
117,3685.2,3685.633,3317.567,3317.667,1960.467,1960.567,1834.9,1836.467,2137.967,2138.4,NA,NA
118,3695.966,3702.433,3318.4,3318.433,1961.167,1961.2,1836.633,1845.267,2146.4,2146.5,NA,NA
119,3702.533,3702.833,3446.033,3448.4,1961.233,1961.3,1845.367,1846.733,2146.767,2149.433,NA,NA
120,3709,3788.266,3450.667,3450.7,2172.767,2174.5,1847.033,1847.233,2149.5,2150.567,NA,NA
121,3793.1,6382.666,3466.567,3466.833,2174.767,2176.433,1847.767,1879.8,2151.833,2152.033,NA,NA
122,6421.566,6599.5,3466.9,3468.233,2388.333,2397.833,1965.567,1969.233,2152.567,2152.833,NA,NA
123,6640.066,6641.866,3469.033,3469.267,2397.867,2398.133,1969.3,1969.5,2158.233,2162.967,NA,NA
124,6659.133,6660.266,3472.567,3472.6,2398.367,2403,1969.567,1969.633,2163.1,2169.7,NA,NA
125,6660.333,6660.466,3472.767,3472.833,2519.733,2521.067,1969.7,1969.767,2169.833,2170.167,NA,NA
126,6679,6694.066,3472.933,3473.967,2521.4,2561.367,1969.867,1969.933,2170.7,2171.233,NA,NA
127,6710.966,6711.9,3474.233,3474.567,2568.033,2568.767,1969.967,1970.433,2177.433,2178.5,NA,NA
128,6711.966,6712.066,3481.567,3481.8,2570.167,2602.033,1970.633,1970.667,2178.567,2178.633,NA,NA
129,6773.8,6781.6,3481.867,3482.867,2606.167,2606.533,1970.7,1970.733,2178.7,2178.767,NA,NA
130,6842.3,6843.6,3483,3485.367,2608.833,2609.133,1970.867,1970.933,2183.233,2187.3,NA,NA
