"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
142,10230.231,10292.798,3480.099,3480.233,9975.631,9976.331,2010.9,2011.366,2071.266,2072.866,NA,NA
143,10301.831,10333.765,3535.699,3536.499,9977.898,10016.265,2011.633,2012.366,2078.566,2078.833,NA,NA
144,10532.298,10533.065,3536.499,3556.099,10016.498,10017.165,2026.666,2035.133,2078.9,2079.1,NA,NA
145,10608.065,10726.065,3606.365,3608.365,10018.131,10018.698,2036.466,2037.166,2079.633,2081.2,NA,NA
146,10732.331,10736.865,3733.199,3734.532,10022.465,10022.631,2037.5,2041.166,2081.366,2081.6,NA,NA
147,10736.865,10753.798,3820.732,3821.199,10025.731,10026.098,2041.533,2041.633,2081.7,2082.2,NA,NA
148,10759.465,10777.398,3822.732,3823.665,10026.231,10026.931,2042.266,2044,2082.233,2082.366,NA,NA
149,10779.398,10781.465,3890.599,3913.099,10027.231,10031.865,2049.166,2049.566,2082.433,2082.5,NA,NA
150,10783.131,10829.465,3913.332,3913.832,10126.198,10126.265,2049.6,2051.033,2082.633,2085.1,NA,NA
151,11079.398,11083.598,3927.999,3937.632,10132.865,10133.265,2058.4,2058.5,2086.8,2091.1,NA,NA
152,11200.898,11201.198,3939.265,3941.632,10162.498,10165.898,2058.533,2058.933,2184.733,2184.766,NA,NA
153,11201.798,11203.631,3941.665,3941.932,10215.598,10219.231,2058.966,2059.066,2184.8,2184.866,NA,NA
154,11323.331,11539.898,3943.132,3943.899,10220.298,10222.865,2059.1,2059.3,2185.2,2185.633,NA,NA
155,11540.665,11540.698,3970.399,4219.565,10485.665,10485.731,2059.4,2059.833,2185.666,2185.833,NA,NA
156,11541.065,11541.165,9622.365,9638.431,10485.798,10486.065,2063.1,2063.133,2186.033,2186.133,NA,NA
157,11541.765,11541.931,9648.098,9649.998,10488.198,10488.265,2063.166,2068.433,2186.266,2187.266,NA,NA
158,11745.131,11749.331,9719.898,9720.965,10489.331,10489.665,2071.2,2071.266,2190.366,2190.433,NA,NA
159,11751.531,11763.065,9762.031,9762.998,10530.531,10530.565,2072.866,2078.566,2190.466,2197.166,NA,NA
160,11850.965,11851.965,9763.265,9763.331,10726.998,10727.598,2078.833,2078.9,2197.266,2197.9,NA,NA
161,11954.731,12071.731,9763.398,9765.631,10870.065,10872.998,2079.1,2079.633,2198.133,2201.366,NA,NA
162,12071.831,12071.931,9766.831,9767.998,10873.031,10876.565,2081.2,2081.366,2201.566,2203.3,NA,NA
163,12072.431,12073.531,9768.065,9768.131,10897.231,10897.465,2081.6,2081.7,2203.366,2203.566,NA,NA
164,12158.798,12214.131,9768.231,9769.531,10903.498,10915.431,2082.2,2082.233,2244.566,2245.666,NA,NA
165,12214.298,12214.331,9812.065,9813.698,10943.865,10950.131,2082.366,2082.433,2254,2254.5,NA,NA
166,12215.565,12219.065,9814.465,9814.865,10951.865,10954.865,2082.5,2082.633,2254.866,2255.5,NA,NA
167,12219.398,12247.065,9815.898,9819.731,10955.265,10958.131,2085.1,2086.8,2256.266,2256.3,NA,NA
168,12331.731,12387.498,9833.165,9833.531,10959.398,10959.998,2091.1,2091.766,2257.333,2257.4,NA,NA
169,12413.731,12417.865,9833.565,9833.631,10960.931,10962.665,2184,2184.733,2257.933,2258.366,NA,NA
170,12420.431,12471.598,9833.765,9833.931,10962.731,10962.865,2184.766,2184.8,2258.533,2258.7,NA,NA
171,12471.731,12471.931,9834.331,9844.798,10963.065,10963.798,2184.866,2185.2,2258.766,2262.133,NA,NA
172,12474.365,12474.531,9848.098,9848.165,10963.865,10965.731,2185.633,2185.666,2262.433,2265.833,NA,NA
173,12551.265,12556.265,9848.231,9872.965,10965.798,10966.731,2185.833,2186.033,2267.3,2269.1,NA,NA
174,12566.365,12568.598,9874.531,9875.231,10967.265,10969.065,2186.133,2186.266,2298.466,2299,NA,NA
175,12571.731,12585.998,9875.265,9875.365,10969.131,10970.198,2187.266,2190.366,2299.166,2302.3,NA,NA
176,12698.165,12700.698,9878.965,9879.698,10970.398,10970.665,2190.433,2190.466,2308.366,2309.766,NA,NA
177,12781.598,12820.831,9895.265,9896.231,10970.998,10971.398,2197.166,2197.266,2382.9,2386.5,NA,NA
178,13650.631,13651.165,9896.831,9897.031,10972.798,10974.731,2197.9,2198.133,2621.033,2627.233,NA,NA
179,13666.198,13738.498,9897.498,9900.231,10975.598,10976.065,2201.366,2201.566,2664.033,2675.399,NA,NA
180,13747.598,13747.665,9916.865,9917.365,10979.598,10979.665,2203.3,2203.366,2798.133,2804.399,NA,NA
181,13748.198,13771.398,9917.498,9917.531,11017.531,11018.131,2203.566,2209.033,2923.099,3036.499,NA,NA
182,13794.865,13795.198,9920.031,9923.165,11037.198,11038.865,2244.033,2244.566,3137.099,3164.966,NA,NA
183,13864.531,13865.798,9933.365,9933.631,11038.931,11039.131,2245.666,2254,3391.099,3396.366,NA,NA
184,14070.865,14071.031,9948.698,9948.798,11039.598,11040.065,2254.5,2254.866,3397.099,3400.299,NA,NA
185,14099.531,14143.265,9952.165,9952.265,11041.398,11041.665,2255.5,2256.266,3401.366,3401.433,NA,NA
186,14143.331,14143.431,9952.465,9952.965,11042.865,11046.265,2256.3,2257.333,3401.666,3402.733,NA,NA
187,14145.565,14147.631,9953.265,9953.631,11046.531,11046.598,2257.4,2257.933,3402.866,3437.666,NA,NA
188,14147.665,14148.365,9953.698,9953.731,11046.665,11048.131,2258.366,2258.533,3437.733,3444.599,NA,NA
189,14148.431,14148.498,9960.598,9973.598,11052.198,11054.198,2258.7,2258.766,3616.165,3617.765,NA,NA
190,14148.531,14148.731,9975.298,9975.431,11054.398,11056.798,2262.133,2262.433,3617.832,3621.899,NA,NA
191,14148.831,14148.898,9975.465,9975.498,11057.598,11058.265,2265.833,2267.3,3622.232,3623.565,NA,NA
192,14149.031,14149.165,9975.531,9975.565,11058.331,11061.598,2269.1,2273.633,3623.699,3631.765,NA,NA
193,14221.798,14230.831,9975.598,9975.631,11063.465,11065.731,2284.633,2298.466,3631.899,3635.365,NA,NA
194,14276.565,14307.798,9976.331,9977.898,11539.898,11540.665,2299,2299.166,3678.432,3678.465,NA,NA
195,14421.531,14422.331,10016.265,10016.498,11540.698,11541.065,2302.3,2308.366,3678.565,3678.665,NA,NA
196,14423.664,14423.697,10017.165,10018.131,11541.165,11541.765,2309.766,2323.9,3678.799,3678.832,NA,NA
197,14424.464,14424.497,10018.698,10022.465,11541.931,11542.065,2382.066,2382.9,3678.899,3683.732,NA,NA
198,14424.897,14425.064,10022.631,10025.731,11554.365,11555.798,2386.5,2400.7,3706.265,3713.265,NA,NA
199,14426.597,14426.797,10026.098,10026.231,11556.031,11568.398,2410.066,2413.433,3715.132,3715.265,NA,NA
200,14441.064,14619.864,10026.931,10027.231,11574.431,11574.631,2425.066,2430.666,3715.332,3715.599,NA,NA
201,14815.431,14818.831,10031.865,10082.931,11575.698,11575.731,2620.533,2621.033,3722.599,3723.265,NA,NA
202,14869.264,14872.564,10086.831,10126.198,11578.231,11578.331,2627.233,2649.166,3726.732,3728.332,NA,NA
203,14872.764,14887.231,10126.265,10132.865,11578.365,11578.498,2653.433,2664.033,3728.399,3732.265,NA,NA
204,14930.797,14935.431,10133.265,10162.498,11579.731,11580.531,2675.399,2700.899,3735.732,3736.665,NA,NA
205,14980.064,14995.764,10165.898,10193.931,11581.298,11581.365,2766.733,2798.133,3817.865,3818.399,NA,NA
206,15018.531,15034.697,10214.331,10215.598,11581.465,11587.465,2804.399,2863.266,3819.532,3819.932,NA,NA
207,15685.664,15728.931,10219.231,10220.298,11593.631,11596.565,2871.866,2872.866,3825.065,3828.599,NA,NA
208,15760.431,15841.864,10222.865,10230.231,11601.398,11604.198,2873.399,2876.066,3828.665,3829.065,NA,NA
209,15898.064,15898.731,10333.765,10485.665,11604.565,11608.531,2912.033,2923.099,9651.298,9662.731,NA,NA
210,15907.264,15911.164,10485.731,10485.798,11610.898,11611.298,3036.499,3036.766,9663.365,9666.465,NA,NA
211,15990.031,15992.831,10486.065,10488.198,11611.531,11613.631,3136.033,3137.099,9708.931,9708.965,NA,NA
212,16015.897,16016.897,10488.265,10489.331,11614.665,11616.065,3164.966,3256.033,9709.098,9709.165,NA,NA
213,16017.964,16018.031,10489.665,10530.531,11688.598,11705.465,3265.033,3326.233,9709.231,9710.065,NA,NA
214,16018.097,16022.164,10530.565,10532.298,11706.531,11708.265,3362.299,3372.899,9710.131,9710.331,NA,NA
215,16024.031,16024.564,10726.065,10726.998,11714.331,11714.931,3372.966,3373.133,9710.398,9710.431,NA,NA
