"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Right_start","Right_stop"
254,NA,NA,3173.765,3173.931,9332.931,9333.198,3031.231,3032.098,5263.698,5263.798
255,NA,NA,3174.831,3180.598,9333.598,9343.598,3031.965,3035.831,5321.931,5328.431
256,NA,NA,3181.098,3181.298,9344.331,9344.731,3032.165,3061.098,5331.365,5331.698
257,NA,NA,3181.798,3181.931,9346.598,9353.798,3036.065,3061.198,5347.465,5654.731
258,NA,NA,3212.098,3223.098,9356.931,9358.198,3061.131,3064.131,5655.065,5656.765
259,NA,NA,3224.131,3232.531,9362.198,9362.331,3063.798,3064.631,5656.798,5656.965
260,NA,NA,3232.965,3233.065,9362.565,9362.665,3064.265,3069.965,5658.898,5658.931
261,NA,NA,3233.098,3233.131,9362.765,9362.798,3065.198,3071.431,5671.665,5673.531
262,NA,NA,3233.331,3233.298,9496.265,9496.498,3070.931,3077.365,5698.165,5700.998
263,NA,NA,3233.431,3233.698,9496.531,9496.831,3074.365,3078.031,5703.631,5720.431
264,NA,NA,3233.931,3234.698,9497.265,9497.498,3077.565,3078.731,5727.731,5760.098
265,NA,NA,3280.898,3284.331,9506.165,9506.531,3078.065,3086.131,5762.865,5775.098
266,NA,NA,3284.731,3284.765,9507.365,9513.231,3083.698,3092.765,5775.365,5779.765
267,NA,NA,3329.965,3330.165,9521.731,9523.765,3090.431,3098.998,5779.831,5826.765
268,NA,NA,3330.465,3330.498,9524.498,9524.531,3094.198,3102.598,5826.831,5832.565
269,NA,NA,3330.565,3330.765,9524.565,9524.631,3100.598,3103.765,5953.398,5971.865
270,NA,NA,3347.198,3347.365,9525.698,9525.831,3102.731,3104.931,6157.498,6157.598
271,NA,NA,3349.965,3350.331,9525.865,9526.065,3103.931,3117.498,6158.298,6158.498
