"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Left_start","Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
132,6974.166,6982.899,3840.633,3841.033,2517.667,2518.1,496.1,497.333,535.933,536.933,NA,NA,NA,NA
133,6983.899,6984.099,3841.166,3841.266,2520.033,2521.9,497.533,501.567,537.033,537.6,NA,NA,NA,NA
134,6999.633,7000.466,3841.533,3841.766,2522.167,2524.9,501.8,502.933,538.433,538.567,NA,NA,NA,NA
135,7002.333,7084.333,3842.866,3843,2524.933,2525.2,513.533,518.8,540.233,540.333,NA,NA,NA,NA
136,7084.333,9876.599,3843.766,3843.933,2525.3,2530.533,518.9,520,541.1,541.2,NA,NA,NA,NA
137,9911.966,9916.433,3865.5,3865.533,2532.133,2532.167,520.167,524.3,541.4,541.633,NA,NA,NA,NA
138,9952.899,9961.066,3869.4,3869.466,2532.2,2532.233,524.333,525.367,542.233,542.333,NA,NA,NA,NA
139,9987.566,9988.799,3952.566,3953.533,2532.567,2543.367,533.833,533.9,544.933,545,NA,NA,NA,NA
140,10173.399,10173.599,3954.033,3954.266,2685.5,2686.767,534.267,535.933,545.467,546.267,NA,NA,NA,NA
141,10173.833,10174.933,4039.1,4039.2,2686.967,2734.733,536.933,537.033,546.567,547.167,NA,NA,NA,NA
142,10193.333,10212.633,4039.266,4039.7,2734.8,2736.967,537.6,538.433,555.3,555.367,NA,NA,NA,NA
143,10232.133,10235.699,4040.133,4040.333,2738.167,2756.5,538.567,540.233,566.367,566.467,NA,NA,NA,NA
144,10332.999,10336.933,4040.533,4042.4,2827.533,2831.267,540.333,541.1,567.033,567.167,NA,NA,NA,NA
145,10347.733,10480.799,4200.533,4200.633,2831.333,2833.333,541.2,541.4,569.5,569.6,NA,NA,NA,NA
146,10521.666,10525.133,4219.166,4219.2,2833.4,2837.1,541.633,542.233,574.833,574.933,NA,NA,NA,NA
147,10658.933,10661.366,4219.933,4222.8,2840.4,2840.733,542.333,544.933,643.1,643.833,NA,NA,NA,NA
148,10661.433,10661.466,4471.5,4475.3,2840.767,2840.9,545,545.467,652.7,652.767,NA,NA,NA,NA
149,10661.533,10662.199,4476.7,4476.766,2840.933,2874.4,546.267,546.567,654.3,654.567,NA,NA,NA,NA
150,10837.199,10880.299,5245.666,5245.766,2997.533,3001.8,547.167,555.3,654.933,655,NA,NA,NA,NA
151,10881.032,10900.099,5246,5246.166,3001.967,3004.4,555.367,566.367,656.267,656.3,NA,NA,NA,NA
152,10900.166,10912.666,5250.066,5250.1,3006.267,3007.133,566.467,567.033,656.633,656.933,NA,NA,NA,NA
153,10912.766,10913.166,5253.633,5254.666,3007.2,3010.367,567.167,569.5,759.633,759.667,NA,NA,NA,NA
154,10913.299,10913.499,5254.766,5254.866,3064.367,3069.933,569.6,574.833,760.3,760.467,NA,NA,NA,NA
155,11054.132,11054.266,5255.266,5255.3,3137.567,3143.067,574.933,575.433,760.633,760.8,NA,NA,NA,NA
156,11054.332,11054.399,5255.533,5256.033,3143.1,3143.733,642.4,643.1,760.833,760.867,NA,NA,NA,NA
157,11158.466,11177.999,5261.333,5261.4,3143.9,3146.767,643.833,652.7,762,762.133,NA,NA,NA,NA
